Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time,Latitude,Longtitude
O-Mama-Mia Steak,https://lh5.googleusercontent.com/p/AF1QipMXTXeuHoE8H7-GWELhdqlL-gaQ5CcaXwsdiiJ5=w80-h106-k-no,https://www.google.com/maps/place/O-Mama-Mia+Steak/data=!4m7!3m6!1s0x2e708951d849063f:0xf6fbcc2cc9a9cedd!8m2!3d-7.0669479!4d110.418407!16s%2Fg%2F11b6d598y1!19sChIJPwZJ2FGJcC4R3c6pySzM-_Y?authuser=0&hl=id&rclk=1,"4,3",(910),Steak,Jl. Jati Raya Banyumanik Semarang, ⋅ Tutup pukul 21.00,110.415419,110.415419
Gudeg Bu Dul,https://lh5.googleusercontent.com/p/AF1QipMzdlfcUyGqkkL5yevPjX2jvF6F8gL5ByBSXU4W=w122-h92-k-no,https://www.google.com/maps/place/Gudeg+Bu+Dul/data=!4m7!3m6!1s0x2e7089a8186d172d:0xe11a0d04777822ca!8m2!3d-7.0692896!4d110.4181629!16s%2Fg%2F12lwhj4hf!19sChIJLRdtGKiJcC4RyiJ4dwQNGuE?authuser=0&hl=id&rclk=1,"4,4",(891),Jawa,Jl. Jati Raya No.C 6, ⋅ Tutup pukul 18.00,110.415419,110.415419
Waroeng Spesial Sambal 'SS' Banyumanik,https://lh5.googleusercontent.com/p/AF1QipPo3ltB4U7BOKW0enFX58Qg1IPDDbUv-L2IONSQ=w122-h92-k-no,https://www.google.com/maps/place/Waroeng+Spesial+Sambal+%27SS%27+Banyumanik/data=!4m7!3m6!1s0x2e7089b569188e11:0x874d8d2a043982ee!8m2!3d-7.061943!4d110.417386!16s%2Fg%2F11hzmql9gv!19sChIJEY4YabWJcC4R7oI5BCqNTYc?authuser=0&hl=id&rclk=1,"4,6",(1.023),Restoran,Jl. Durian Selatan I No.14, ⋅ Tutup pukul 21.00,110.415419,110.415419
Sowak (Sop Iwak),https://lh5.googleusercontent.com/p/AF1QipPKYyeMAcHjkpdl20m_TuHnbmriJoTufqx8lXE=w122-h92-k-no,https://www.google.com/maps/place/Sowak+%28Sop+Iwak%29/data=!4m7!3m6!1s0x2e708ea8d32fc68d:0xb02b7d4a90765ba0!8m2!3d-7.0612153!4d110.4355652!16s%2Fg%2F11cjhygdnc!19sChIJjcYv06iOcC4RoFt2kEp9K7A?authuser=0&hl=id&rclk=1,"4,4",(4.251),Rumah Makan,Jl. Banjarsari Selatan No.18, ⋅ Tutup pukul 20.00,110.415419,110.415419
Adi's Culinary Banyumanik,https://lh5.googleusercontent.com/p/AF1QipPqMsO6NMthK6WiRnYMc3gdtGu3GCYEPIl-zQdS=w122-h92-k-no,https://www.google.com/maps/place/Adi%27s+Culinary+Banyumanik/data=!4m7!3m6!1s0x2e7089852de2bccb:0x499f7e60d863ec15!8m2!3d-7.0629186!4d110.4216817!16s%2Fg%2F11gxxgs5lc!19sChIJy7ziLYWJcC4RFexj2GB-n0k?authuser=0&hl=id&rclk=1,"4,7",(1.325),Restoran,Jl. Durian Raya No.49, ⋅ Tutup pukul 21.00,110.415419,110.415419
Lesehan Aldan Cabang Semarang,https://lh5.googleusercontent.com/p/AF1QipPRTZMNRmQVXaoyr0QzmdTHjh7S25uBO5A9K5BT=w122-h92-k-no,https://www.google.com/maps/place/Lesehan+Aldan+Cabang+Semarang/data=!4m7!3m6!1s0x2e708bf91be31921:0xf38eb4940e40ec27!8m2!3d-7.0499365!4d110.422834!16s%2Fg%2F11c329n5h3!19sChIJIRnjG_mLcC4RJ-xADpS0jvM?authuser=0&hl=id&rclk=1,"4,3",(2.501),Restoran,Jl. Ngesrep Tim. V No.44, ⋅ Tutup pukul 20.45,110.415419,110.415419
Kebon Ndhelik Banyumanik,https://lh5.googleusercontent.com/p/AF1QipNlQIbGzl-36Xw1UDo5rQQdRA9kC5VB1y0x-I3b=w122-h92-k-no,https://www.google.com/maps/place/Kebon+Ndhelik+Banyumanik/data=!4m7!3m6!1s0x2e708950f787b2e7:0x421d63559c894c55!8m2!3d-7.0645123!4d110.4164869!16s%2Fg%2F11c6d_10vd!19sChIJ57KH91CJcC4RVUyJnFVjHUI?authuser=0&hl=id&rclk=1,"4,4",(154),Restoran,, ⋅ Tutup pukul 20.00,110.415419,110.415419
Soto Bang Qiit Banyumanik,https://lh5.googleusercontent.com/p/AF1QipP47Afjtm4CxD6c0JmfNoP5As2B9fEhdmS65MQ=w163-h92-k-no,https://www.google.com/maps/place/Soto+Bang+Qiit+Banyumanik/data=!4m7!3m6!1s0x2e70894f01048bfd:0x21363f5a2af6179d!8m2!3d-7.0697292!4d110.4168426!16s%2Fg%2F11dfj99gfx!19sChIJ_YsEAU-JcC4RnRf2Klo_NiE?authuser=0&hl=id&rclk=1,"3,8",(4),Soto Ayam,"Jalan Rasamala Raya Nomor 105, Banyumanik", ⋅ Tutup pukul 17.00,110.415419,110.415419
Mie Clubbing Erlangga,https://lh5.googleusercontent.com/p/AF1QipOce4TY1os0DeKTl_Kx0I_KCedcH8B0KoNYCDSS=w122-h92-k-no,https://www.google.com/maps/place/Mie+Clubbing+Erlangga/data=!4m7!3m6!1s0x2e708bf8ddc2256d:0x2f9568905f4bab9a!8m2!3d-7.0590695!4d110.4281406!16s%2Fg%2F11cn3dpb3x!19sChIJbSXC3fiLcC4RmqtLX5BolS8?authuser=0&hl=id&rclk=1,"4,3",(2.408),Mi,Jl. Tirto Agung No.69, ⋅ Tutup pukul 22.00,110.415419,110.415419
Nasi Gandul Mas Mamet,https://lh5.googleusercontent.com/p/AF1QipPjrTtRxYGYTonsTbe5bY4MpEGaTmS_AQeN9kw_=w80-h106-k-no,https://www.google.com/maps/place/Nasi+Gandul+Mas+Mamet/data=!4m7!3m6!1s0x2e708929fcb4d373:0xdc84116305829622!8m2!3d-7.0681441!4d110.4224458!16s%2Fg%2F11pzlkzxxl!19sChIJc9O0_CmJcC4RIpaCBWMRhNw?authuser=0&hl=id&rclk=1,"4,9",(29),Rumah Makan,Jl. Kruing Raya No.106, ⋅ Tutup pukul 20.00,110.415419,110.415419
