Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Warung Makan Bu Rus Candisari,https://lh5.googleusercontent.com/p/AF1QipOyrfZA4to6eqxS_Fqr9h4y6jrbtyPqL0q80Phj=w80-h106-k-no,https://www.google.com/maps/place/Warung+Makan+Bu+Rus+Candisari/data=!4m7!3m6!1s0x2e708c86e6443659:0xeefe5f5f83aa473d!8m2!3d-7.012426!4d110.433903!16s%2Fg%2F11f123fd6q!19sChIJWTZE5oaMcC4RPUeqg19f_u4?authuser=0&hl=id&rclk=1,"4,6",(7),Jawa,"XCQM+2HC, Jl. Cinde Barat II", ⋅ 15.00 ⋅ Buka Kam pukul 08.00
"Warung Makan Pecel Dan Es Kelapa Muda Bu Sum, Candisari",https://lh5.googleusercontent.com/p/AF1QipPvQvSl4fnELNJICZ97SLb83B10aIMcvzSPOYI_=w163-h92-k-no,"https://www.google.com/maps/place/Warung+Makan+Pecel+Dan+Es+Kelapa+Muda+Bu+Sum,+Candisari/data=!4m7!3m6!1s0x2e708b4de1b4d73f:0x979754ec7013af81!8m2!3d-7.0088212!4d110.4249371!16s%2Fg%2F11gr4dr3pd!19sChIJP9e04U2LcC4Rga8TcOxUl5c?authuser=0&hl=id&rclk=1","5,0",(7),Rumah Makan,"XCRF+FXF, Jl. Kawi 4", ⋅ Tutup pukul 18.00
Bumbu Sedap,https://lh5.googleusercontent.com/p/AF1QipOQ3Zey0mHrWI6uWhzxecUOpSRZKEp_iUTFOiB2=w80-h168-k-no,https://www.google.com/maps/place/Bumbu+Sedap/data=!4m7!3m6!1s0x2e708c8205396c7f:0xcf558f5df30d756!8m2!3d-7.0092809!4d110.4256007!16s%2Fg%2F11dft1xjfg!19sChIJf2w5BYKMcC4RVtcw3_VY9Qw?authuser=0&hl=id&rclk=1,,,Sate,"XCRG+76Q, Jalan Tegalsari Raya, Candi, Candisari", ⋅ Tutup pukul 21.00
Rumah Makan Indah Raso,https://lh5.googleusercontent.com/p/AF1QipOkchINXuVWo6JZjXkcwxtk30vIFu4p_8nd9Pyx=w122-h92-k-no,https://www.google.com/maps/place/Rumah+Makan+Indah+Raso/data=!4m7!3m6!1s0x2e708b881f732835:0x3218fc39445df636!8m2!3d-7.0270572!4d110.4260721!16s%2Fg%2F11dxcg99lr!19sChIJNShzH4iLcC4RNvZdRDn8GDI?authuser=0&hl=id&rclk=1,"4,2",(106),Padang,"Jl.Kesatriaan No. F9 ( Depan Pintu Gerbang ARHANUD ), Kelurahan", ⋅ Tutup pukul 22.00
Soto Seger Lestari,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NwyofDeFbqivKb0ziNnN7w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=280.71173&pitch=0&thumbfov=100,https://www.google.com/maps/place/Soto+Seger+Lestari/data=!4m7!3m6!1s0x2e708b7b9956ecff:0xe320b84632596a5d!8m2!3d-7.0088062!4d110.4190524!16s%2Fg%2F11dfsxjql0!19sChIJ_-xWmXuLcC4RXWpZMka4IOM?authuser=0&hl=id&rclk=1,"4,0",(1),Soto Ayam,"XCR9+FJF, Jl. Kawi Raya", ⋅ 15.00 ⋅ Buka Kam pukul 08.00
Warung Makan Berkah Lestari,https://lh5.googleusercontent.com/p/AF1QipOLo_g2LQacKUNwbegEqgHqf8LuleNDqXe65Hvh=w163-h92-k-no,https://www.google.com/maps/place/Warung+Makan+Berkah+Lestari/data=!4m7!3m6!1s0x2e708c7789797121:0x2cee46e61703daf5!8m2!3d-7.0264851!4d110.4281863!16s%2Fg%2F11bw2_crpv!19sChIJIXF5iXeMcC4R9doDF-ZG7iw?authuser=0&hl=id&rclk=1,"4,6",(19),Jawa,Jl. Jangli Raya No.63, ⋅ 15.00 ⋅ Buka Kam pukul 05.30
Resto Candi Indah,https://lh3.googleusercontent.com/gps-proxy/AE4_-5F644oQt8iC39GUKucEzJVUIukovmBpWSDNBshBWkni9W4yUr6XUbqnP3Ausi01aF2fpF0cdnKX48RPCkA2a9gNZLE7NenB_CxtgNPYJcCr31JSbyzdyUqKxucf8HvqHpY5Vs0EWGRAL2_anHkCKctWvGPLSNI0izJbQ816alJtkrr6To5D1UTJ=w122-h92-k-no,https://www.google.com/maps/place/Resto+Candi+Indah/data=!4m7!3m6!1s0x2e708b86e7d83867:0x14f043869c49c04d!8m2!3d-7.0225412!4d110.4223965!16s%2Fg%2F11f_c04xl9!19sChIJZzjY54aLcC4RTcBJnIZD8BQ?authuser=0&hl=id&rclk=1,"4,7",(12),Restoran,Jl. Dr. Wahidin No.112, ⋅ Tutup pukul 21.00
Warung Makan Bu Yadi,https://lh5.googleusercontent.com/p/AF1QipPvQV3Zo5gpX6kZ3YdeXzFQ6awl8R86X7phpxDA=w80-h142-k-no,https://www.google.com/maps/place/Warung+Makan+Bu+Yadi/data=!4m7!3m6!1s0x2e708c7726dc9683:0x908081b74c1b7b44!8m2!3d-7.0281508!4d110.4310352!16s%2Fg%2F11fz9yw9nv!19sChIJg5bcJneMcC4RRHsbTLeBgJA?authuser=0&hl=id&rclk=1,"4,7",(19),Jawa,"XCCJ+PCM, Jalan Jangli Krajan II Jatingaleh", ⋅ 15.00 ⋅ Buka Kam pukul 09.00
Warung Makan Rukun Lestari,https://lh5.googleusercontent.com/p/AF1QipP3pNJMjEIdJOnyq9OzFqS2-VbwjaI6FX2KJRS_=w80-h106-k-no,https://www.google.com/maps/place/Warung+Makan+Rukun+Lestari/data=!4m7!3m6!1s0x2e708b7c44b8cf47:0x82ccb7147b9a2653!8m2!3d-7.0076498!4d110.4181401!16s%2Fg%2F11c6yh5dq9!19sChIJR8-4RHyLcC4RUyaaexS3zII?authuser=0&hl=id&rclk=1,"4,6",(25),Jawa,"XCR9+W7R, Jl. Kawi Raya",
Rumah Makan Ibu Parno,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NZJGpe408It5roAzT3rkqg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=229.07126&pitch=0&thumbfov=100,https://www.google.com/maps/place/Rumah+Makan+Ibu+Parno/data=!4m7!3m6!1s0x2e708b6357d11955:0x32abd8220e5027e8!8m2!3d-7.0054682!4d110.420267!16s%2Fg%2F11f06jdv41!19sChIJVRnRV2OLcC4R6CdQDiLYqzI?authuser=0&hl=id&rclk=1,"3,0",(2),Rumah Makan,"XCVC+R46, Jalan Wilis, Kelurahan tegal sari..., kecamatan candi sari", ⋅ Tutup pukul 20.00
