Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Kokoaku gajahmungkur semarang,https://lh5.googleusercontent.com/p/AF1QipPWerSGuyhVpTHkr9DgplO3WoMNQb8A1HMsfjhp=w163-h92-k-no,https://www.google.com/maps/place/Kokoaku+gajahmungkur+semarang/data=!4m7!3m6!1s0x2e708bb5e719a7bd:0x577dc8ccd88f1480!8m2!3d-7.0291805!4d110.4173275!16s%2Fg%2F11l8s_bx5l!19sChIJvacZ57WLcC4RgBSP2MzIfVc?authuser=0&hl=id&rclk=1,"5,0",(1),Restoran,Jl. Karangrejo I No.53A, ⋅ Tutup Kam pukul 07.00
Commoro Resto,https://lh5.googleusercontent.com/p/AF1QipOTWqZo020cEr67E9MiHVnJHnZ_gTqv7V361kTf=w122-h92-k-no,https://www.google.com/maps/place/Commoro+Resto/data=!4m7!3m6!1s0x2e708b7d5e9b0d51:0x4e9cb41efe510ada!8m2!3d-7.0054026!4d110.4057527!16s%2Fg%2F11p16dk2ps!19sChIJUQ2bXn2LcC4R2gpR_h60nE4?authuser=0&hl=id&rclk=1,"4,5",(512),Sesuai untuk keluarga,Jl. Gajah Mungkur Selatan No.15b, ⋅ Tutup pukul 23.00
Sei Sapi Gajahmungkur (Pusat),https://lh5.googleusercontent.com/p/AF1QipNkn0ndjvIDdrd_fsHT_XNt7Z4tSvnnd58ON8cf=w80-h106-k-no,https://www.google.com/maps/place/Sei+Sapi+Gajahmungkur+%28Pusat%29/data=!4m7!3m6!1s0x2e708b692753d0ed:0x270d6c2d8c398a41!8m2!3d-7.008716!4d110.4093589!16s%2Fg%2F11qq97km2z!19sChIJ7dBTJ2mLcC4RQYo5jC1sDSc?authuser=0&hl=id&rclk=1,"4,7",(72),Makanan Siap Saji,Jl. Agung No.14, ⋅ Tutup pukul 22.00
Chicken House Gajahmungkur,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8o41GrF4utg5b4xuwmJMiw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=46.888382&pitch=0&thumbfov=100,https://www.google.com/maps/place/Chicken+House+Gajahmungkur/data=!4m7!3m6!1s0x2e708bb8899dd70d:0xa33687b52aba8937!8m2!3d-7.0101882!4d110.4116897!16s%2Fg%2F11j4n70_s2!19sChIJDdedibiLcC4RN4m6KrWHNqM?authuser=0&hl=id&rclk=1,"5,0",(4),Ayam,Jl. Cikurai Raya No.410, ⋅ Tutup pukul 21.00
Warung Oma,https://lh5.googleusercontent.com/p/AF1QipMESRK5NvRBm62XXPDW1w5q9dzRLQiAzZCE_Obx=w122-h92-k-no,https://www.google.com/maps/place/Warung+Oma/data=!4m7!3m6!1s0x2e708b02d335cf7b:0xf8dcb27ee48a4b1!8m2!3d-7.0173336!4d110.4185959!16s%2Fg%2F11lqjn2xtd!19sChIJe8810wKLcC4RsaRI7ifLjQ8?authuser=0&hl=id&rclk=1,"4,7",(282),Rumah Makan,Jl. Sultan Agung No.107, ⋅ Tutup pukul 22.00
"Sop Buntut, Ayam Goreng & Iga Bakar Pak To",https://lh5.googleusercontent.com/p/AF1QipN2dXlUWVsXrxSFAD4i3R6vWYDJxrZsvn0VLA91=w122-h92-k-no,"https://www.google.com/maps/place/Sop+Buntut,+Ayam+Goreng+%26+Iga+Bakar+Pak+To/data=!4m7!3m6!1s0x2e708b79001f428d:0xb184894b9b7a4aca!8m2!3d-7.0078318!4d110.4157178!16s%2Fg%2F1hc1rrlyj!19sChIJjUIfAHmLcC4Rykp6m0uJhLE?authuser=0&hl=id&rclk=1","4,5",(1.583),Ayam,"XCR8+V78, Jl. Sultan Agung", ⋅ Tutup pukul 22.00
"Warung Makan "" Tombo Kangen """,https://lh5.googleusercontent.com/p/AF1QipOr2J5Jvtpqxh3xCEvpMOzzx1ZGGydaODc-6Tau=w163-h92-k-no,https://www.google.com/maps/place/Warung+Makan+%22+Tombo+Kangen+%22/data=!4m7!3m6!1s0x2e708b7a41ba773d:0xbb4bdb710a876204!8m2!3d-7.0090147!4d110.4159041!16s%2Fg%2F11fxw4ssw8!19sChIJPXe6QXqLcC4RBGKHCnHbS7s?authuser=0&hl=id&rclk=1,"4,3",(96),Nasi Goreng,Jl. Sultan Agung No.63, ⋅ Tutup pukul 00.00
"Pak to soto,gajahmungkur",https://lh5.googleusercontent.com/p/AF1QipNTrtTF3TwSBKScmmxfs93FWGDcUbvOyHraVKmU=w80-h142-k-no,"https://www.google.com/maps/place/Pak+to+soto,gajahmungkur/data=!4m7!3m6!1s0x2e708be3a3098bd7:0xc830bcf7ab0ef9e7!8m2!3d-7.0124564!4d110.4101656!16s%2Fg%2F11fl1qbrds!19sChIJ14sJo-OLcC4R5_kOq_e8MMg?authuser=0&hl=id&rclk=1","4,6",(24),Soto,"XCQ6+237, Jl. Cikurai Raya", ⋅ Tutup pukul 21.30
Horapa Seafood & Thai Kitchen,https://lh5.googleusercontent.com/p/AF1QipN9xdgk7_oAQatBQFIVIFQT7PU3iumcwlW_asAW=w122-h92-k-no,https://www.google.com/maps/place/Horapa+Seafood+%26+Thai+Kitchen/data=!4m7!3m6!1s0x2e708b6d90a9e7e3:0xe95e909d08005224!8m2!3d-7.005665!4d110.406074!16s%2Fg%2F11f50y8d3h!19sChIJ4-epkG2LcC4RJFIACJ2QXuk?authuser=0&hl=id&rclk=1,"4,6",(1.458),Thailand,Jl. Gajah Mungkur Selatan No.15A, ⋅ Tutup pukul 21.00
Langgeng Sari,https://lh5.googleusercontent.com/p/AF1QipOh_gwMvvsRMlFKYoEfBNurJs9RPJo5CZcbTwlF=w122-h92-k-no,https://www.google.com/maps/place/Langgeng+Sari/data=!4m7!3m6!1s0x2e708b83ed1972ed:0x481209ed82c09fd!8m2!3d-7.0204911!4d110.4188798!16s%2Fg%2F11g7cx2b09!19sChIJ7XIZ7YOLcC4R_Qks2J4ggQQ?authuser=0&hl=id&rclk=1,"4,2",(80),Rumah Makan,Jl. Semeru Raya No.1, ⋅ Tutup pukul 21.00
