Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Ayam Forever Gayamsari Semarang,https://lh5.googleusercontent.com/p/AF1QipM_7y9_1pBqWLp1W0TrMWyt3jz-0VZo0nQ172yN=w163-h92-k-no,https://www.google.com/maps/place/Ayam+Forever+Gayamsari+Semarang/data=!4m7!3m6!1s0x2e708d83ce9b84ab:0x4decde7bcc19f480!8m2!3d-6.9966564!4d110.4447545!16s%2Fg%2F11td4ck2n4!19sChIJq4SbzoONcC4RgPQZzHve7E0?authuser=0&hl=id&rclk=1,"4,6",(37),Restoran,Jl. Badak Raya No.37, ⋅ Tutup pukul 22.00
"Dapur Mas Gito, Gayamsari",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ygE8APkaf6HRHc7NwEiIqg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=259.51892&pitch=0&thumbfov=100,"https://www.google.com/maps/place/Dapur+Mas+Gito,+Gayamsari/data=!4m7!3m6!1s0x2e708d44aa4ac2bf:0x3dd5b81fbcedbe91!8m2!3d-7.0056678!4d110.4496939!16s%2Fg%2F11qp2kbjky!19sChIJv8JKqkSNcC4Rkb7tvB-41T0?authuser=0&hl=id&rclk=1",,,Restoran,"Jl. Gayamsari IVA, RT.5/RW.1", ⋅ Tutup pukul 23.00
Bebek Kang Jono Gayamsari,https://lh5.googleusercontent.com/p/AF1QipNTWWdstm67ZvZpCDei4UPZh0SGZOmL7d7MgW33=w204-h92-k-no,https://www.google.com/maps/place/Bebek+Kang+Jono+Gayamsari/data=!4m7!3m6!1s0x2e708c94b97a70c5:0x83e4897778295362!8m2!3d-6.9986119!4d110.4492933!16s%2Fg%2F11ddwhrdq8!19sChIJxXB6uZSMcC4RYlMpeHeJ5IM?authuser=0&hl=id&rclk=1,"4,7",(189),Ayam,Jl. Tanggul No.I, ⋅ Tutup pukul 22.00
Angkringan 5758,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4h0wG_FMhuzEiRQFU7SjTw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=52.021908&pitch=0&thumbfov=100,https://www.google.com/maps/place/Angkringan+5758/data=!4m7!3m6!1s0x2e708dab0f4cd9a9:0x842575029770403!8m2!3d-6.9908994!4d110.4498317!16s%2Fg%2F11gsm5sz4w!19sChIJqdlMD6uNcC4RAwR3KVBXQgg?authuser=0&hl=id&rclk=1,,,Pempek,Jl. Gajah Tim. Dalam No.17, ⋅ Tutup pukul 03.00
Chocochiz Gayamsari,https://lh5.googleusercontent.com/p/AF1QipPn0yIbKLgN5x8PUsJKSrxu_OYIUGAuKXUn5KOn=w204-h92-k-no,https://www.google.com/maps/place/Chocochiz+Gayamsari/data=!4m7!3m6!1s0x2e708ded053524d9:0x691a4f5b83a5cd86!8m2!3d-6.9966669!4d110.4447537!16s%2Fg%2F11jssy9lv2!19sChIJ2SQ1Be2NcC4Rhs2lg1tPGmk?authuser=0&hl=id&rclk=1,"5,0",(3),Restoran,Jl. Badak Raya No.37, ⋅ Tutup pukul 21.00
Geprek 57,https://lh5.googleusercontent.com/p/AF1QipNler83ZaUDnv3WDeJke6QqqxhMC2dtQiYZjZOH=w111-h92-k-no,https://www.google.com/maps/place/Geprek+57/data=!4m7!3m6!1s0x2e708d1309c7b20b:0x5c1d76aff7812921!8m2!3d-7.0048532!4d110.4497259!16s%2Fg%2F11fr32xj1x!19sChIJC7LHCRONcC4RISmB9692HVw?authuser=0&hl=id&rclk=1,"4,8",(4),Restoran,"XCWX+3V5, Gg. 2", ⋅ Tutup pukul 21.00
"Warung Makan Mbah ""RO""",https://lh5.googleusercontent.com/p/AF1QipOfz_q0h64JdhU336758AErISxGz7qojkEWv9kc=w80-h106-k-no,https://www.google.com/maps/place/Warung+Makan+Mbah+%22RO%22/data=!4m7!3m6!1s0x2e708c92ff549f59:0x4c24e146f97aecb1!8m2!3d-7.002564!4d110.4470702!16s%2Fg%2F11f020hg0s!19sChIJWZ9U_5KMcC4Rsex6-UbhJEw?authuser=0&hl=id&rclk=1,"5,0",(3),Restoran,Jl. Tanggul No.48, ⋅ Tutup pukul 21.30
Warung Makan Barokah,https://lh5.googleusercontent.com/p/AF1QipNu78Jb1wlGICFTmUb9vtwWvaLMNL73eq1RdB0P=w163-h92-k-no,https://www.google.com/maps/place/Warung+Makan+Barokah/data=!4m7!3m6!1s0x2e708d79e34f3fe3:0xd5e971bf1409a6db!8m2!3d-6.9942955!4d110.4521391!16s%2Fg%2F11mvp588ms!19sChIJ4z9P43mNcC4R26YJFL9x6dU?authuser=0&hl=id&rclk=1,"5,0",(2),Restoran,Jl. Kanguru Utara VII No.38, ⋅ Tutup pukul 23.00
WM Salera,https://lh5.googleusercontent.com/p/AF1QipM2Au-zjNFiYeT22kkKckmiAhTEj5DA1VJyAcdJ=w80-h106-k-no,https://www.google.com/maps/place/WM+Salera/data=!4m7!3m6!1s0x2e708c93de0e973f:0x798eae954e1b3a07!8m2!3d-7.0009833!4d110.4443721!16s%2Fg%2F11f03kgg60!19sChIJP5cO3pOMcC4RBzobTpWujnk?authuser=0&hl=id&rclk=1,"4,3",(84),Jawa,Jl. Gempolsari I No.5, ⋅ Tutup pukul 23.00
Kedai Selera,https://lh5.googleusercontent.com/p/AF1QipOG8YewbY25BQ-1-W_AaOfSuwxpJVb8l2Iwt4dW=w162-h92-k-no,https://www.google.com/maps/place/Kedai+Selera/data=!4m7!3m6!1s0x2e708d5630100d87:0xdcebcd84f130e669!8m2!3d-6.9946263!4d110.4515951!16s%2Fg%2F11pwscf09m!19sChIJhw0QMFaNcC4RaeYw8YTN69w?authuser=0&hl=id&rclk=1,"5,0",(1),Brunch,Jl. Kanguru Utara V No.32, ⋅ Tutup pukul 23.00
Nasi Ayam Mbak Milih Semarang,https://lh5.googleusercontent.com/p/AF1QipPwVPA9RZt8ev7Q_R6SfugrlFBgujSh3I2ybA4r=w80-h106-k-no,https://www.google.com/maps/place/Nasi+Ayam+Mbak+Milih+Semarang/data=!4m7!3m6!1s0x2e708cf94de2b5b7:0xe4d05bdcd1f198fe!8m2!3d-7.0033428!4d110.4499053!16s%2Fg%2F1pzt34g3l!19sChIJt7XiTfmMcC4R_pjx0dxb0OQ?authuser=0&hl=id&rclk=1,"4,7",(289),Jawa,Jl. Majapahit No.131, ⋅ Tutup pukul 23.00
RM Sinar Pagi,https://lh5.googleusercontent.com/p/AF1QipPiQZP4U4NNj3aJ0Fq-dBdwjCIyVC9gyYeIAKvP=w163-h92-k-no,https://www.google.com/maps/place/RM+Sinar+Pagi/data=!4m7!3m6!1s0x2e708b541976b423:0xa5d32f4ddf6dcfb9!8m2!3d-6.9927472!4d110.4473038!16s%2Fg%2F1hm5v0g8f!19sChIJI7R2GVSLcC4Ruc9t300v06U?authuser=0&hl=id&rclk=1,"4,3",(807),Padang,"Jalan Gajah Raya No. 22, Kelurahan Gayamsari, Kecamatan Gayamsari",
Takasi Murah,https://lh5.googleusercontent.com/p/AF1QipNUw2v4R8OU6-c3bDruPr1Mnx34GKL0jDbFymR1=w143-h92-k-no,https://www.google.com/maps/place/Takasi+Murah/data=!4m7!3m6!1s0x2e708d44ee660aa3:0x38041cced96c131a!8m2!3d-7.0039374!4d110.4501312!16s%2Fg%2F11p5j7rx48!19sChIJowpm7kSNcC4RGhNs2c4cBDg?authuser=0&hl=id&rclk=1,"4,9",(11),Restoran,, ⋅ Tutup pukul 22.00
Sate Jamur Kaka Masrum,https://lh5.googleusercontent.com/p/AF1QipOz7MJpVXief6b5Jfyz_CG5O_AJeHju0MvMu59d=w92-h92-k-no,https://www.google.com/maps/place/Sate+Jamur+Kaka+Masrum/data=!4m7!3m6!1s0x2e708cea9fb3fcdb:0x898ec9f764a7de2f!8m2!3d-6.9943858!4d110.4517088!16s%2Fg%2F11cp5fz4j7!19sChIJ2_yzn-qMcC4RL96nZPfJjok?authuser=0&hl=id&rclk=1,"4,1",(11),Sate,"2F42+6MW, Jl. Kanguru Utara V", ⋅ Tutup pukul 22.30
Nasi ayam mbak wiwik,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aVFD8v4ykRa9sdG86yviOg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=181.95468&pitch=0&thumbfov=100,https://www.google.com/maps/place/Nasi+ayam+mbak+wiwik/data=!4m7!3m6!1s0x2e708d05fa0cd033:0xe371911d73797c9b!8m2!3d-7.0017693!4d110.4449119!16s%2Fg%2F11k5hqxw3t!19sChIJM9AM-gWNcC4Rm3x5cx2RceM?authuser=0&hl=id&rclk=1,,,Restoran,Jl. Tanggul No.5, ⋅ Tutup pukul 21.00
Warung Penyetan Bu Yati,https://lh5.googleusercontent.com/p/AF1QipMDfMcZaY0Z2muyQAvdFfOaxCU4lCprxa2gUVcc=w80-h106-k-no,https://www.google.com/maps/place/Warung+Penyetan+Bu+Yati/data=!4m7!3m6!1s0x2e708cbfb874c301:0x2d4d69bee54f7fce!8m2!3d-6.9933106!4d110.4478877!16s%2Fg%2F11f10dv2wk!19sChIJAcN0uL-McC4Rzn9P5b5pTS0?authuser=0&hl=id&rclk=1,"4,7",(119),Jawa,"2C4X+M5C, Jl. Gajah Tim. IV", ⋅ Tutup pukul 22.00
