Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Rumah Makan Sate Kambing Widodo Putra 7,https://lh5.googleusercontent.com/p/AF1QipOXtXWMZLXqO1SuOq4fQyoJeTG1TVG1YehvZm8p=w163-h92-k-no,https://www.google.com/maps/place/Rumah+Makan+Sate+Kambing+Widodo+Putra+7/data=!4m7!3m6!1s0x2e70890ef0ecc4cb:0x6157f349f735783f!8m2!3d-7.085593!4d110.3871539!16s%2Fg%2F11g7ywd3sj!19sChIJy8Ts8A6JcC4RP3g190nzV2E?authuser=0&hl=id&rclk=1,"4,5",(81),Sate,Jl. Mr. Koesbiyono Tjondrowibowo, ⋅ 21.00 ⋅ Buka Kam pukul 12.00
Warung Makan Bu Siti (ex Samping Gerbang FIK),https://lh5.googleusercontent.com/p/AF1QipNM-9y8KtWS4N8uJ4cupwiOHKPrb8ZBJJKSu_ty=w163-h92-k-no,https://www.google.com/maps/place/Warung+Makan+Bu+Siti+%28ex+Samping+Gerbang+FIK%29/data=!4m7!3m6!1s0x2e708bcf7290cf53:0x9f6b890e5c690e!8m2!3d-7.0448944!4d110.3890894!16s%2Fg%2F11cs28dk20!19sChIJU8-Qcs-LcC4RDmlcDolrnwA?authuser=0&hl=id&rclk=1,"4,6",(48),Jawa,X94Q+2JW, ⋅ 21.00 ⋅ Buka Kam pukul 06.00
Warung Makan Usus Mercon,https://lh5.googleusercontent.com/p/AF1QipNozHvfiFmbm9ym3Kz-M087bRDZ1QjPmBiSsybg=w122-h92-k-no,https://www.google.com/maps/place/Warung+Makan+Usus+Mercon/data=!4m7!3m6!1s0x2e708968ffffffff:0x5c93b1ce547397cf!8m2!3d-7.0611706!4d110.3969864!16s%2Fg%2F11bv2gz8vl!19sChIJ_____2iJcC4Rz5dzVM6xk1w?authuser=0&hl=id&rclk=1,"4,4",(38),Rumah Makan,"Kampus UNNES, Jl. Patemon Raya RT. 03 / RW. 04, Sekaran, Gunungpati", ⋅ 21.00 ⋅ Buka Kam pukul 07.00
Rocket Chicken Gunungpati,https://lh5.googleusercontent.com/p/AF1QipO7Ex9BzP9avF88vPFMOEmNtDYuZ0w4Sfou4VtU=w122-h92-k-no,https://www.google.com/maps/place/Rocket+Chicken+Gunungpati/data=!4m7!3m6!1s0x2e7089bbb57df78f:0xc0e180a1c64028a5!8m2!3d-7.0873631!4d110.3621915!16s%2Fg%2F11gf60t4ct!19sChIJj_d9tbuJcC4RpShAxqGA4cA?authuser=0&hl=id&rclk=1,"4,3",(495),Ayam,"W976+3V4, Jl. Raya Manyaran-Gunungpati", ⋅ 21.00 ⋅ Buka Kam pukul 10.00
Dapoer Kita Gunung Pati,https://lh5.googleusercontent.com/p/AF1QipMUtDmvnZDupODdUrtaCXvm0NkDmKOIXPOhmG15=w163-h92-k-no,https://www.google.com/maps/place/Dapoer+Kita+Gunung+Pati/data=!4m7!3m6!1s0x2e7089a267ddfa6b:0x3d138fd58ccd70c3!8m2!3d-7.0720958!4d110.3655728!16s%2Fg%2F11pv6ry5xz!19sChIJa_rdZ6KJcC4Rw3DNjNWPEz0?authuser=0&hl=id&rclk=1,"4,8",(6),Restoran,W9H8+568, ⋅ 21.00 ⋅ Buka Kam pukul 09.00
Warung MWC Gunungpati,https://lh5.googleusercontent.com/p/AF1QipOLueq5f1VOMFeFgstajbTt1dKZLsrMcW4C585E=w80-h106-k-no,https://www.google.com/maps/place/Warung+MWC+Gunungpati/data=!4m7!3m6!1s0x2e70898ca69e8a55:0xa55a3f1b6667cdd!8m2!3d-7.0604662!4d110.3597205!16s%2Fg%2F11lpy61cpq!19sChIJVYqepoyJcC4R3XxmtvGjVQo?authuser=0&hl=id&rclk=1,"4,8",(34),Restoran,"W9Q5+RV9, Jl. Raya Manyaran-Gunungpati", ⋅ Tutup pukul 22.00
Aneka Gongso Mak M,https://lh5.googleusercontent.com/p/AF1QipPnSjnx4TWHBurSzzYHyTZ9ha6EYM9iAz4FMq2B=w80-h142-k-no,https://www.google.com/maps/place/Aneka+Gongso+Mak+M/data=!4m7!3m6!1s0x2e708bd931dd9ddb:0x6aa9586505a32b2f!8m2!3d-7.0546226!4d110.3960972!16s%2Fg%2F11c2q44w_f!19sChIJ253dMdmLcC4RLyujBWVYqWo?authuser=0&hl=id&rclk=1,"4,6",(107),Rumah Makan,"W9WW+5C5, Gg. Jeruk", ⋅ 21.00 ⋅ Buka Kam pukul 11.00
"Olahane Simbokku ( Rumah Makan, Angkringan Modern, aneka Sambal )",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5L-Xb6Y4rZtksaX9KBCIGA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=226.8841&pitch=0&thumbfov=100,"https://www.google.com/maps/place/Olahane+Simbokku+%28+Rumah+Makan,+Angkringan+Modern,+aneka+Sambal+%29/data=!4m7!3m6!1s0x2e708beba4375a73:0x581110883806f2f7!8m2!3d-7.0464752!4d110.3901964!16s%2Fg%2F11rkfc48fw!19sChIJc1o3pOuLcC4R9_IGOIgQEVg?authuser=0&hl=id&rclk=1","5,0",(1),Indonesia,Jl. Raya Banaran No.21 B, ⋅ Tutup pukul 22.00
Rumah Makan Padang Do'a Basamo,https://lh5.googleusercontent.com/p/AF1QipPbCTsE_rJQq3y2i6khbtGii0ri_cZDE7m1Ei7s=w163-h92-k-no,https://www.google.com/maps/place/Rumah+Makan+Padang+Do%27a+Basamo/data=!4m7!3m6!1s0x2e7089bdd7e289b9:0x4107b6d72d7102a6!8m2!3d-7.081797!4d110.360674!16s%2Fg%2F11g88d83gq!19sChIJuYni172JcC4RpgJxLde2B0E?authuser=0&hl=id&rclk=1,"5,0",(3),Padang,"W996+77M, Jalan Raya Gunungpati - Semarang (Samping Terminal Gunungpati) Gunungpati, Gunungpati, Gunungpti", ⋅ Tutup pukul 22.00
"Waroenge ""deewe""",https://lh5.googleusercontent.com/p/AF1QipPu6Iku4STPG1OzQk_Vjc6-whYe3ssOuhZAokNb=w163-h92-k-no,https://www.google.com/maps/place/Waroenge+%22deewe%22/data=!4m7!3m6!1s0x2e708ba17f176b6d:0xd5250b28fe975133!8m2!3d-7.0523801!4d110.3600971!16s%2Fg%2F11hykgk4v9!19sChIJbWsXf6GLcC4RM1GX_igLJdU?authuser=0&hl=id&rclk=1,"4,2",(5),Rumah Makan,, ⋅ 21.00 ⋅ Buka Kam pukul 11.00
