Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
MAKAN ngaliyan,https://lh5.googleusercontent.com/p/AF1QipPTjv27KzBcc9K018DY8vXGJms6-nDI-teTJ7XR=w80-h142-k-no,https://www.google.com/maps/place/MAKAN+ngaliyan/data=!4m7!3m6!1s0x2e708bd90982ea3d:0xe25bdab230a9be7b!8m2!3d-6.995522!4d110.3482775!16s%2Fg%2F11rfc4x24r!19sChIJPeqCCdmLcC4Re76pMLLaW-I?authuser=0&hl=id&rclk=1,"4,0",(4),Hamburger,283X+Q8R, ⋅ Tutup pukul 22.00
"Waroeng Spesial Sambal ""SS"" Ngaliyan",https://lh5.googleusercontent.com/p/AF1QipNFP5x9u_hmKX-x_LXqkI1KWTppuoYWaAuZP7O9=w163-h92-k-no,https://www.google.com/maps/place/Waroeng+Spesial+Sambal+%22SS%22+Ngaliyan/data=!4m7!3m6!1s0x2e708a986be1afa5:0xbc5a4d4ef460d064!8m2!3d-6.991121!4d110.3551847!16s%2Fg%2F1pztdvlhn!19sChIJpa_ha5iKcC4RZNBg9E5NWrw?authuser=0&hl=id&rclk=1,"4,3",(2.921),Restoran,Jl. Prof. Dr. Hamka No.59, ⋅ Tutup pukul 22.00
Rumah Makan Waroeng Bring-In Ngaliyan,https://lh5.googleusercontent.com/p/AF1QipMzppL68T031a1wDuHQ10OMNjLRJZtKNDzcpfs=w122-h92-k-no,https://www.google.com/maps/place/Rumah+Makan+Waroeng+Bring-In+Ngaliyan/data=!4m7!3m6!1s0x2e706002589978e3:0x9c6965aa26d77884!8m2!3d-6.9868391!4d110.3293635!16s%2Fg%2F11bz_19rt2!19sChIJ43iZWAJgcC4RhHjXJqplaZw?authuser=0&hl=id&rclk=1,"4,6",(91),Restoran,"Jl. Raya Beringin No.Kav 19, RT.3/RW.16", ⋅ Tutup pukul 22.00
Selera Sambal,https://lh5.googleusercontent.com/p/AF1QipOfXY7BAfKrklPD-0NCrWgn5spa5VcvtDoX5OCY=w163-h92-k-no,https://www.google.com/maps/place/Selera+Sambal/data=!4m7!3m6!1s0x2e708ab8ecdde223:0x9b35ab20d8a31b87!8m2!3d-6.9920298!4d110.3531637!16s%2Fg%2F1hm329480!19sChIJI-Ld7LiKcC4Rhxuj2CCrNZs?authuser=0&hl=id&rclk=1,"4,3",(1.497),Indonesia,"Villa Ngaliyan Permai, Jl. Prof. Dr. Hamka, RT.03/RW.14", ⋅ 21.00 ⋅ Buka Kam pukul 10.00
Orichick Ngaliyan,https://lh5.googleusercontent.com/p/AF1QipP_ExtU_lPbpguK_L6rPGpE1OCWueGACW9LZIUT=w92-h92-k-no,https://www.google.com/maps/place/Orichick+Ngaliyan/data=!4m7!3m6!1s0x2e708bf5e12ad275:0x2c778c5c209ccde7!8m2!3d-6.9986168!4d110.3441664!16s%2Fg%2F11hdnzwj3c!19sChIJddIq4fWLcC4R582cIFyMdyw?authuser=0&hl=id&rclk=1,"4,2",(153),Rumah Makan,282V+HM3, ⋅ Tutup pukul 22.00
Rumah Makan Moslem Chinese Food,https://lh5.googleusercontent.com/p/AF1QipNz3yyXFsjWDa2UKwCjAAxB6BB6M-RtnUfvrbBa=w92-h92-k-no,https://www.google.com/maps/place/Rumah+Makan+Moslem+Chinese+Food/data=!4m7!3m6!1s0x2e708abd60e8229f:0xf89e6afc3582e5d6!8m2!3d-6.9991218!4d110.3444893!16s%2Fg%2F1hm4cyvq_!19sChIJnyLoYL2KcC4R1uWCNfxqnvg?authuser=0&hl=id&rclk=1,"4,4",(575),China,"Ruko Segitiga Emas, Jl. Raya Ngaliyan", ⋅ 21.00 ⋅ Buka Kam pukul 10.00
Waroeng Steak and Shake Ngaliyan,https://lh5.googleusercontent.com/p/AF1QipPyVvJH2e06eKsMFJTFR7Khv-RGo8GVQNMzjbUa=w122-h92-k-no,https://www.google.com/maps/place/Waroeng+Steak+and+Shake+Ngaliyan/data=!4m7!3m6!1s0x2e708ac7ed08ed99:0xd78cf3d899f03a2f!8m2!3d-6.9895673!4d110.3557586!16s%2Fg%2F1pty_sqnj!19sChIJme0I7ceKcC4RLzrwmdjzjNc?authuser=0&hl=id&rclk=1,"4,4",(4.880),Steak,Jl. Prof. Dr. Hamka No.43, ⋅ 21.00 ⋅ Buka Kam pukul 11.00
Super Penyet Ngaliyan,https://lh5.googleusercontent.com/p/AF1QipMjzvch4xsscBipKnMOutR46WIHKPzAWx9AcTnw=w146-h92-k-no,https://www.google.com/maps/place/Super+Penyet+Ngaliyan/data=!4m7!3m6!1s0x2e708b3496742a7d:0x60a05ba10ba5d22f!8m2!3d-7.0050765!4d110.3388996!16s%2Fg%2F11ptw4y8hv!19sChIJfSp0ljSLcC4RL9KlC6FboGA?authuser=0&hl=id&rclk=1,"4,6",(634),Restoran,Jl. Prof. Dr. Hamka, ⋅ Tutup pukul 21.30
Ayam Penyet Surabaya Ngaliyan,https://lh5.googleusercontent.com/p/AF1QipPHPR-kmjapSj9jVQSc8yY8s6AnGGA2eIbABMPq=w163-h92-k-no,https://www.google.com/maps/place/Ayam+Penyet+Surabaya+Ngaliyan/data=!4m7!3m6!1s0x2e708a86e3d5a505:0xb3e23de98e880e50!8m2!3d-7.016969!4d110.3387266!16s%2Fg%2F11c3tjfjry!19sChIJBaXV44aKcC4RUA6Ijuk94rM?authuser=0&hl=id&rclk=1,"4,3",(3.448),Ayam Penyet,, ⋅ Tutup pukul 22.00
RM.Moro Seneng,https://lh5.googleusercontent.com/p/AF1QipPczB6C8OvsME4afdsAL6cncqw-EzCO1PbXe26-=w153-h92-k-no,https://www.google.com/maps/place/RM.Moro+Seneng/data=!4m7!3m6!1s0x2e708abf24db5f1f:0x4fd6508ca89b0d72!8m2!3d-6.9946156!4d110.3519589!16s%2Fg%2F1hc3gtpmn!19sChIJH1_bJL-KcC4Rcg2bqIxQ1k8?authuser=0&hl=id&rclk=1,"4,2",(155),Padang,"JL Honggowongso No. 18 RT 002/09, Semarang, 50159", ⋅ Tutup pukul 22.30
McDonald's Ngaliyan Semarang,https://lh5.googleusercontent.com/p/AF1QipM3JE5nhFJqkglnmPVO7hju5wzMdDoMgaQRlCci=w163-h92-k-no,https://www.google.com/maps/place/McDonald%27s+Ngaliyan+Semarang/data=!4m7!3m6!1s0x2e708a984d0107b1:0x29c885abd550a82b!8m2!3d-7.0017304!4d110.340754!16s%2Fg%2F11fzs6b0ry!19sChIJsQcBTZiKcC4RK6hQ1auFyCk?authuser=0&hl=id&rclk=1,"4,5",(5.070),Makanan Siap Saji,Jl. Prof. Dr. Hamka No.105,
HOMIE GEPREK NGALIYAN,https://lh5.googleusercontent.com/p/AF1QipNbK6qyqj7l99q3oCq0O1vDlk8YALdzZT66z1sg=w163-h92-k-no,https://www.google.com/maps/place/HOMIE+GEPREK+NGALIYAN/data=!4m7!3m6!1s0x2e708bd4092e3d19:0x4c1c4b5a0add67b6!8m2!3d-6.9991884!4d110.3436715!16s%2Fg%2F11js5fwywj!19sChIJGT0uCdSLcC4RtmfdClpLHEw?authuser=0&hl=id&rclk=1,"4,5",(68),Rumah Makan,Jl. Prof. Dr. Hamka, ⋅ 21.00 ⋅ Buka Kam pukul 09.00
Niki Bakso,https://lh5.googleusercontent.com/p/AF1QipPWJEogxlUkI2KwWcF1pJcWj1k-qMbvT4Klqhmx=w122-h92-k-no,https://www.google.com/maps/place/Niki+Bakso/data=!4m7!3m6!1s0x2e708abd6892f0df:0x3f02b19e9ddac67b!8m2!3d-6.9933379!4d110.3513419!16s%2Fg%2F1hm44glgv!19sChIJ3_CSaL2KcC4Re8banZ6xAj8?authuser=0&hl=id&rclk=1,"4,3",(196),Bakso,Jl. Prof. Dr. Hamka No.6, ⋅ Tutup pukul 22.00
Burjo Pantry Ngaliyan,https://lh5.googleusercontent.com/p/AF1QipOL1s4Vbo76PZygF2ZZFQH9ea3Eckp5UBU8sNDg=w80-h106-k-no,https://www.google.com/maps/place/Burjo+Pantry+Ngaliyan/data=!4m7!3m6!1s0x2e708b8ec9f3275b:0xfc533584358cc568!8m2!3d-6.9888095!4d110.3568855!16s%2Fg%2F11rbyy4k87!19sChIJWyfzyY6LcC4RaMWMNYQ1U_w?authuser=0&hl=id&rclk=1,"4,0",(239),Brunch,Jl. Prof. Dr. Hamka,
Super Food ngaliyan,https://lh5.googleusercontent.com/p/AF1QipNzZXy3zIO9i8VoCXYEW1M2WX1s5J4OJKsUtC7p=w122-h92-k-no,https://www.google.com/maps/place/Super+Food+ngaliyan/data=!4m7!3m6!1s0x2e708bc22c038f7d:0x21e4e0f2761b33a7!8m2!3d-6.9957363!4d110.3491555!16s%2Fg%2F11trlln6xn!19sChIJfY8DLMKLcC4RpzMbdvLg5CE?authuser=0&hl=id&rclk=1,,,Rumah Makan,"Ngaliyan,samping smp 16", ⋅ Tutup pukul 21.30
Burjo Alesha Ngaliyan,https://lh5.googleusercontent.com/p/AF1QipPmsd6qx6qDKhuHU1sbhGxJVwZ9QkShsBIUD4H9=w197-h92-k-no,https://www.google.com/maps/place/Burjo+Alesha+Ngaliyan/data=!4m7!3m6!1s0x2e708beec68e68f7:0x86ffb3ae6cf04cf9!8m2!3d-7.0045896!4d110.3487272!16s%2Fg%2F11h71knx37!19sChIJ92iOxu6LcC4R-UzwbK6z_4Y?authuser=0&hl=id&rclk=1,"4,7",(13),Kafe,Jl. Wismasari Sel. No.Kel, ⋅ 21.00 ⋅ Buka Kam pukul 09.00
