Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Warung Kang Bejo,https://lh5.googleusercontent.com/p/AF1QipMZrFEQ9u_pvmNCP-zyOoQe_z-YBRsxdYZWH6Ew=w122-h92-k-no,https://www.google.com/maps/place/Warung+Kang+Bejo/data=!4m7!3m6!1s0x2e708da84da74c35:0xa19e953af959e927!8m2!3d-7.0191022!4d110.4887906!16s%2Fg%2F11c5_7v62z!19sChIJNUynTaiNcC4RJ-lZ-TqVnqE?authuser=0&hl=id&rclk=1,"4,6",(1.403),Jawa Timur,Jl. Sarwo Edi Wibowo No.2, ⋅ 23.00 ⋅ Buka Kam pukul 12.00
Pondok Lalapan Mampir Dahar,https://lh5.googleusercontent.com/p/AF1QipOP3MSxgk_LSgVNvw6GUALoTCjt0d_RqwD-E2Un=w163-h92-k-no,https://www.google.com/maps/place/Pondok+Lalapan+Mampir+Dahar/data=!4m7!3m6!1s0x2e708cfcb28bc895:0x5b46fb01680477a6!8m2!3d-7.0038661!4d110.4687018!16s%2Fg%2F11c807h3wt!19sChIJlciLsvyMcC4RpncEaAH7Rls?authuser=0&hl=id&rclk=1,"4,3",(38),Rumah Makan,Jl. Palebon Raya Jl. Soekarno Hatta No.193B, ⋅ 23.00 ⋅ Buka Kam pukul 11.00
"KERANG ANGKRINGAN HEDON, PEDURUNGAN",https://lh5.googleusercontent.com/p/AF1QipMFa0eH80jukc0NDn0HTK7ffxqksGtR718JmXFk=w163-h92-k-no,"https://www.google.com/maps/place/KERANG+ANGKRINGAN+HEDON,+PEDURUNGAN/data=!4m7!3m6!1s0x2e708d75bfaab6db:0xdf492badee3d0a2!8m2!3d-7.0018092!4d110.471494!16s%2Fg%2F11s_z0m9fz!19sChIJ27aqv3WNcC4RotDj3rqS9A0?authuser=0&hl=id&rclk=1","5,0",(1),Hidangan Laut,Jl. Wolter Monginsidi No.8, ⋅ Tutup pukul 02.30
My Kopi,https://lh5.googleusercontent.com/p/AF1QipPEh9burN_h4aQcK4yYGa54xnpKEnmTwnC_0pUQ=w116-h92-k-no,https://www.google.com/maps/place/My+Kopi/data=!4m7!3m6!1s0x2e708cfc9448730f:0xe150c10d44e433cc!8m2!3d-7.0047862!4d110.4695589!16s%2Fg%2F11b7l2_1jm!19sChIJD3NIlPyMcC4RzDPkRA3BUOE?authuser=0&hl=id&rclk=1,"4,2",(1.745),Nasi Goreng,Jl. Soekarno Hatta No.71,
Lawoh Jowo by Kiky,https://lh5.googleusercontent.com/p/AF1QipMxF3zMBiEHKhG--Ghac_-tI1vy7KGblsUEe9uG=w129-h92-k-no,https://www.google.com/maps/place/Lawoh+Jowo+by+Kiky/data=!4m7!3m6!1s0x2e708d23e0e8b363:0xe02dd509de5c2965!8m2!3d-6.9993383!4d110.4777211!16s%2Fg%2F11hnm0gd02!19sChIJY7Po4CONcC4RZSlc3gnVLeA?authuser=0&hl=id&rclk=1,"4,7",(22),Restoran,,
Dapur Bersama RGI Semarang Pedurungan,https://lh5.googleusercontent.com/p/AF1QipOQ9Gw0bcrIx0n3M7laCpy_kWMP-jlOFurM4c_u=w92-h92-k-no,https://www.google.com/maps/place/Dapur+Bersama+RGI+Semarang+Pedurungan/data=!4m7!3m6!1s0x2e708d97662ff299:0x7ec92b48583afd5e!8m2!3d-7.0121238!4d110.4752284!16s%2Fg%2F11rlj48xxj!19sChIJmfIvZpeNcC4RXv06WEgryX4?authuser=0&hl=id&rclk=1,"4,2",(41),Restoran,Jl. Majapahit No.587,
FOOD'S EDGE,https://lh5.googleusercontent.com/p/AF1QipO_E2lszYSmyet6P2BV2M9NdoE4ef8oMCsJqp6v=w80-h100-k-no,https://www.google.com/maps/place/FOOD%27S+EDGE/data=!4m7!3m6!1s0x2e708dabceafd1f5:0x9bb70e0db56e7c8f!8m2!3d-7.0181099!4d110.475554!16s%2Fg%2F11h7d78cdd!19sChIJ9dGvzquNcC4Rj3xutQ0Ot5s?authuser=0&hl=id&rclk=1,"4,6",(71),Restoran,Jl. Kukilo Mukti Raya No.195,
Warung Tegal Bu Erni,https://lh5.googleusercontent.com/p/AF1QipNDe91270gOzIYZB34q107yFSkcpDbX2eXsAE1L=w163-h92-k-no,https://www.google.com/maps/place/Warung+Tegal+Bu+Erni/data=!4m7!3m6!1s0x2e708cfe6e647c0d:0x6f9a0c7c59d5c749!8m2!3d-7.0094704!4d110.4719546!16s%2Fg%2F11fy9p7njz!19sChIJDXxkbv6McC4RScfVWXwMmm8?authuser=0&hl=id&rclk=1,"4,7",(6),Jawa,Jl. Soekarno Hatta No.3,
Rumah Makan Rahayu,https://lh5.googleusercontent.com/p/AF1QipOG2rLTHNiiuXxynvHNqFBiC_cwrI2thjWz5HU=w184-h92-k-no,https://www.google.com/maps/place/Rumah+Makan+Rahayu/data=!4m7!3m6!1s0x2e708cedea729265:0xac4969ce8de2f4c!8m2!3d-7.0032443!4d110.4547437!16s%2Fg%2F11c0xcxxls!19sChIJZZJy6u2McC4RTC_e6JyWxAo?authuser=0&hl=id&rclk=1,"4,4",(1.424),Jawa Tengah,"Ruko Artha Mas No. 12U, Jl. Supriyadi, Kalicari, Pedurungan, Kalicari", ⋅ Buka Kam pukul 06.00
Kedai Korokeling,https://lh5.googleusercontent.com/p/AF1QipPqLUHxUhyar_v7W_cJDU_Vh36mvto7HSKOycQ=w122-h92-k-no,https://www.google.com/maps/place/Kedai+Korokeling/data=!4m7!3m6!1s0x2e708da9f96ddb91:0xbd304580c4835a63!8m2!3d-7.0136942!4d110.480194!16s%2Fg%2F11csb3fgfy!19sChIJkdtt-amNcC4RY1qDxIBFML0?authuser=0&hl=id&rclk=1,"4,4",(953),Hidangan Laut,Jl. Brigjen Sudiarto No.520, ⋅ Buka Kam pukul 11.00
