Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
McDonald's,https://lh5.googleusercontent.com/p/AF1QipMniNpp729Fso4ZMO2UhtLFmQ4mVvjJeYcmUMwc=w122-h92-k-no,https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x2e708b77cf1342a3:0x435f1f2a9d155533!8m2!3d-6.9887945!4d110.3943631!16s%2Fg%2F11c5864bbw!19sChIJo0ITz3eLcC4RM1UVnSofX0M?authuser=0&hl=id&rclk=1,"4,5",(7.242),Restoran,Jl. Pamularsih Raya No.54,
Kuliner Srikuncoro Kalibanteng Kulon,https://lh5.googleusercontent.com/p/AF1QipNDVzfebNemJkEP_mDzqdBO00SrNTf5fHTU041M=w123-h92-k-no,https://www.google.com/maps/place/Kuliner+Srikuncoro+Kalibanteng+Kulon/data=!4m7!3m6!1s0x2e708bc0505e092f:0x8ba253c44c6bb3d8!8m2!3d-6.9867671!4d110.378651!16s%2Fg%2F11h27zbt06!19sChIJLwleUMCLcC4R2LNrTMRToos?authuser=0&hl=id&rclk=1,"4,6",(5),Restoran,Jl. Srikuncoro I No.47,
Moro Seneng Rumah Makan,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qyPYUYoZJnSuNIlVRLVjpA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=357.59985&pitch=0&thumbfov=100,https://www.google.com/maps/place/Moro+Seneng+Rumah+Makan/data=!4m7!3m6!1s0x2e708ad1bef69fb1:0xa54101107f3e4ba8!8m2!3d-6.98432!4d110.368373!16s%2Fg%2F1pzsqjfh1!19sChIJsZ_2vtGKcC4RqEs-fxABQaU?authuser=0&hl=id&rclk=1,"4,8",(12),Restoran,Jl. Kurantil Raya No.2/164,
Pusat Kuliner PDAM Semarang Barat,https://lh5.googleusercontent.com/p/AF1QipOi391hw0z4aYiikzMOppQHspxMXfMFpq4BYsrp=w80-h106-k-no,https://www.google.com/maps/place/Pusat+Kuliner+PDAM+Semarang+Barat/data=!4m7!3m6!1s0x2e708b5523c1d309:0xb5a15036b5a43b4a!8m2!3d-6.9885307!4d110.3850886!16s%2Fg%2F11lrl9_pd9!19sChIJCdPBI1WLcC4RSjuktTZQobU?authuser=0&hl=id&rclk=1,"5,0",(1),Restoran,"296P+H2P, Jl. Sri Rejeki Utara", ⋅ 23.00 ⋅ Buka Kam pukul 05.00
Nasi Ayam Kemuning Mbak Jum,https://lh5.googleusercontent.com/p/AF1QipOZ9-CZZVyV0TOb-Y4HjZiFrhA_A4JwKQ4E6uME=w80-h106-k-no,https://www.google.com/maps/place/Nasi+Ayam+Kemuning+Mbak+Jum/data=!4m7!3m6!1s0x2e70f4cd7ef15dcf:0x2d5e831b1ee1ff8e!8m2!3d-6.9753385!4d110.3904297!16s%2Fg%2F1pzvg3yjb!19sChIJz13xfs30cC4Rjv_hHhuDXi0?authuser=0&hl=id&rclk=1,"4,3",(1.447),Jawa,Jl. Anjasmoro Raya No.77, ⋅ 23.00 ⋅ Buka Kam pukul 07.00
Warung Penyet 'Mugi Berkah',https://lh5.googleusercontent.com/p/AF1QipP_Po1UDb8ZbsOrJ7EzNcgllv0sSuLb-rfNl_S2=w163-h92-k-no,https://www.google.com/maps/place/Warung+Penyet+%27Mugi+Berkah%27/data=!4m7!3m6!1s0x2e708b1beaaaaa95:0xff9d634795688c02!8m2!3d-7.0150412!4d110.3848695!16s%2Fg%2F11f10g6k_9!19sChIJlaqq6huLcC4RAoxolUdjnf8?authuser=0&hl=id&rclk=1,"4,6",(54),Jawa,"Jalan Candi Pawon Selatan Rt 2 Rw 1 No 3, Manyaran, Semarang Barat", ⋅ 23.00 ⋅ Buka Kam pukul 16.00
Pojok Indah SeaFood Resto,https://lh5.googleusercontent.com/p/AF1QipMAemWTmLi8WntVfk8N9PkLT0xtoXY-sovyxEUt=w226-h92-k-no,https://www.google.com/maps/place/Pojok+Indah+SeaFood+Resto/data=!4m7!3m6!1s0x2e708b20c9fc2e4d:0xdb21fa3bf0d05a9e!8m2!3d-6.99351!4d110.3798596!16s%2Fg%2F11cp7frr94!19sChIJTS78ySCLcC4RnlrQ8Dv6Ids?authuser=0&hl=id&rclk=1,"4,5",(235),Hidangan Laut,Jl. Abdulrahman Saleh No.97a, ⋅ 23.00 ⋅ Buka Kam pukul 15.00
Nasi Goreng Babat Pak Sumarsono,https://lh5.googleusercontent.com/p/AF1QipPHiCVCbUyQ8z8xaHf6LEbPeVIhChW0PlojxU8-=w122-h92-k-no,https://www.google.com/maps/place/Nasi+Goreng+Babat+Pak+Sumarsono/data=!4m7!3m6!1s0x2e70f4cd5933312b:0xea87ccc3a6383f46!8m2!3d-6.9758333!4d110.3908333!16s%2Fg%2F11ckkscjny!19sChIJKzEzWc30cC4RRj84psPMh-o?authuser=0&hl=id&rclk=1,"4,5",(1.294),Nasi Goreng,Jl. Anjasmoro Raya No.64, ⋅ Tutup pukul 00.00
Restoran Kampung Laut Semarang,https://lh5.googleusercontent.com/p/AF1QipMFMswMdFkRuhC18V11ZSArT2M4jGhBjTZ-njuu=w163-h92-k-no,https://www.google.com/maps/place/Restoran+Kampung+Laut+Semarang/data=!4m7!3m6!1s0x2e70f4db9bba48f7:0x34e7dea74586cb2c!8m2!3d-6.962044!4d110.3860703!16s%2Fg%2F1hm6cqkl4!19sChIJ90i6m9v0cC4RLMuGRafe5zQ?authuser=0&hl=id&rclk=1,"4,4",(18.002),Hidangan Laut,"Puri Maerokoco Tawang Mas, Jl. Anjasmoro Raya",
Restoran Tanjung Laut,https://lh5.googleusercontent.com/p/AF1QipMY0an10aT3L0yjX_5pd7bs-X0Kfw-Qz8VjJjrf=w163-h92-k-no,https://www.google.com/maps/place/Restoran+Tanjung+Laut/data=!4m7!3m6!1s0x2e70f4d96d128ba3:0x5b2064e3421e203a!8m2!3d-6.9642715!4d110.3833312!16s%2Fg%2F1tj4q7l6!19sChIJo4sSbdn0cC4ROiAeQuNkIFs?authuser=0&hl=id&rclk=1,"4,2",(4.358),Hidangan Laut,"Jalan Puri Eksekutif No. 1, Tambakharjo, Semarang Barat", ⋅ Buka Kam pukul 11.00
