Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Burjo Roemani Wonodri,https://lh5.googleusercontent.com/p/AF1QipNJy5S2o4pA-NE0hNg21DRYtmxmtn1BXN6g-s3G=w163-h92-k-no,https://www.google.com/maps/place/Burjo+Roemani+Wonodri/data=!4m7!3m6!1s0x2e708c9de8064af5:0x51ea60ee906dd71e!8m2!3d-7.0011237!4d110.427454!16s%2Fg%2F11c7p4nbdm!19sChIJ9UoG6J2McC4RHtdtkO5g6lE?authuser=0&hl=id&rclk=1,"4,5",(327),Rumah Makan,Jl. Wonodri Sendang Raya No.1052,
Kuliner Semarang Sambal Sereh,https://lh5.googleusercontent.com/p/AF1QipMPqdO626dwOazQ117RrAGBKvCcb-DNOnYfoaOA=w122-h92-k-no,https://www.google.com/maps/place/Kuliner+Semarang+Sambal+Sereh/data=!4m7!3m6!1s0x2e708c9d3de98f75:0x5fbeefe4dbbbbd12!8m2!3d-7.0043579!4d110.4284339!16s%2Fg%2F11cjhyyzq1!19sChIJdY_pPZ2McC4REr272-Tvvl8?authuser=0&hl=id&rclk=1,"4,2",(992),Prasmanan,Jl. Sriwijaya No.80, ⋅ Buka Kam pukul 07.00
Gudeg Koyor Mbak Tum - Peterongan,https://lh5.googleusercontent.com/p/AF1QipOZc1rRFdsmXdDlkM0IxJ4QHYiim9fsIYNx47Hw=w163-h92-k-no,https://www.google.com/maps/place/Gudeg+Koyor+Mbak+Tum+-+Peterongan/data=!4m7!3m6!1s0x2e708c9bef9be385:0x1ab5f222fdbb465b!8m2!3d-7.0009704!4d110.4330408!16s%2Fg%2F11bxfq2zwz!19sChIJheOb75uMcC4RW0a7_SLytRo?authuser=0&hl=id&rclk=1,"4,5",(7.758),Jawa,XCXM+J67,
Kuliner Semarang Mie Ramor Tempat Makan Mie dan Bakso Enak di Semarang,https://lh5.googleusercontent.com/p/AF1QipNmxMCe6m_fhZZcNkdzZuZJS-MDm8xoz9541pZZ=w122-h92-k-no,https://www.google.com/maps/place/Kuliner+Semarang+Mie+Ramor+Tempat+Makan+Mie+dan+Bakso+Enak+di+Semarang/data=!4m7!3m6!1s0x2e708bcc956bd62f:0x3e34732c554d6478!8m2!3d-6.9887747!4d110.4179611!16s%2Fg%2F11fdyfznmh!19sChIJL9ZrlcyLcC4ReGRNVSxzND4?authuser=0&hl=id&rclk=1,"4,5",(2.049),Mi,, ⋅ Buka Kam pukul 10.00
Kaneshiro Resto All You Can Eat - Semarang,https://lh5.googleusercontent.com/p/AF1QipMzS-qTQ7ue3mAQqN4uYmz6NEe9ELW6A55Yx9Qy=w122-h92-k-no,https://www.google.com/maps/place/Kaneshiro+Resto+All+You+Can+Eat+-+Semarang/data=!4m7!3m6!1s0x2e708d627a6b8473:0x8c9d5772c26f530b!8m2!3d-7.004224!4d110.4277449!16s%2Fg%2F11sk84yjgw!19sChIJc4RremKNcC4RC1NvwnJXnYw?authuser=0&hl=id&rclk=1,"5,0",(420),Restoran,Jl. Sriwijaya No.74, ⋅ Buka Kam pukul 11.00
Kuliner,https://lh5.googleusercontent.com/p/AF1QipPNjZWAsTkHmhIpDTO-WrOjkeYP6yKz-XbKBg6X=w80-h106-k-no,https://www.google.com/maps/place/Kuliner/data=!4m7!3m6!1s0x2e708dde49d6e1f1:0x2f14ec559adcd550!8m2!3d-7.0046273!4d110.4294833!16s%2Fg%2F11k7s3p_4w!19sChIJ8eHWSd6NcC4RUNXcmlXsFC8?authuser=0&hl=id&rclk=1,"4,0",(1),Restoran,Jl. Sriwijaya No.102, ⋅ Buka Kam pukul 10.00
Kedai Gula Jawa,https://lh5.googleusercontent.com/p/AF1QipO5GC2BRRKJWCcEJBHnulA_y6cHkHa7Q1W_TWnX=w163-h92-k-no,https://www.google.com/maps/place/Kedai+Gula+Jawa/data=!4m7!3m6!1s0x2e708c9e03e7e2b5:0x96d412151c7c506b!8m2!3d-7.0001718!4d110.4264109!16s%2Fg%2F11bc7nrrsh!19sChIJteLnA56McC4Ra1B8HBUS1JY?authuser=0&hl=id&rclk=1,"4,5",(4.226),Jawa,Jl. Singosari Raya No.49,
Kedai Amarta,https://lh5.googleusercontent.com/p/AF1QipOsV_5JSN7fHoOp-eSwPsMbdiyCMm9pzCCRyBkd=w122-h92-k-no,https://www.google.com/maps/place/Kedai+Amarta/data=!4m7!3m6!1s0x2e708b61b36dcb05:0x664ebf643daca806!8m2!3d-6.9983445!4d110.4243895!16s%2Fg%2F11fx8ql3y8!19sChIJBctts2GLcC4RBqisPWS_TmY?authuser=0&hl=id&rclk=1,"4,4",(3.164),Restoran,Jl. Pleburan Barat No.32, ⋅ Buka Kam pukul 10.00
Soto Bangkong,https://lh5.googleusercontent.com/p/AF1QipNb-NEeCVfSB3m0Cv4yWSfKkmsPAcRPOcfR6Obu=w122-h92-k-no,https://www.google.com/maps/place/Soto+Bangkong/data=!4m7!3m6!1s0x2e708ca20cb04b0d:0xef8f159b4e62e46!8m2!3d-6.99459!4d110.4324256!16s%2Fg%2F11b6czhn5l!19sChIJDUuwDKKMcC4RRi7mtFnx-A4?authuser=0&hl=id&rclk=1,"4,3",(9.540),Soto,"Ruko Bangkong Plaza, Jl. Brigjen Katamso No.1",
Dapur Mama Cafe & Resto,https://lh5.googleusercontent.com/p/AF1QipOLSejO_KAWJMp4MZ354eHD4_BvCpYg2VPWsxUs=w204-h92-k-no,https://www.google.com/maps/place/Dapur+Mama+Cafe+%26+Resto/data=!4m7!3m6!1s0x2e708b584d8361fb:0x273c124c0f144505!8m2!3d-6.9986582!4d110.4265754!16s%2Fg%2F1hdy_8qyk!19sChIJ-2GDTViLcC4RBUUUD0wSPCc?authuser=0&hl=id&rclk=1,"4,4",(1.810),Restoran,Jl. Singosari II No.7, ⋅ Buka Kam pukul 07.30
