Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Nine Typical Coffee and Eatery,https://lh5.googleusercontent.com/p/AF1QipP5_XNWuVy58rJInOmfc6KuWzYEYPmYl66tmORj=w360-h640-k-no,https://www.google.com/maps/place/Nine+Typical+Coffee+and+Eatery/data=!4m7!3m6!1s0x2e708baaa8937e77:0x617a64be3cdd973d!8m2!3d-7.0049737!4d110.4001469!16s%2Fg%2F11s0t14rxh!19sChIJd36TqKqLcC4RPZfdPL5kemE?authuser=0&hl=id&rclk=1,"4,8",(224),Restoran,Jl. Tumpang Raya No.25,
Seoul Palace,https://lh5.googleusercontent.com/p/AF1QipP9J3aeqhti4ZLX8SahL8NB5yKnfM064v5roCpV=w80-h92-p-k-no,https://www.google.com/maps/place/Seoul+Palace/data=!4m7!3m6!1s0x2e708b5abfa7e0ff:0x11a96696ea5df44d!8m2!3d-6.9883564!4d110.4184894!16s%2Fg%2F1hd_jrp7f!19sChIJ_-Cnv1qLcC4RTfRd6pZmqRE?authuser=0&hl=id&rclk=1,"4,5",(745),Korea,Jl. Pandanaran No.109, ⋅ Buka Kam pukul 10.30
"Warung Dim Sum (WARDIM), Kuliner Semarang",https://lh5.googleusercontent.com/p/AF1QipMWsyrVTune8KTpvrE4Z06x2cVdE3r88SjvlYrh=w163-h92-k-no,"https://www.google.com/maps/place/Warung+Dim+Sum+%28WARDIM%29,+Kuliner+Semarang/data=!4m7!3m6!1s0x2e708b58b6d8731d:0xa2eb7772ef481503!8m2!3d-6.9898324!4d110.424796!16s%2Fg%2F11c6f17z2b!19sChIJHXPYtliLcC4RAxVI73J366I?authuser=0&hl=id&rclk=1","4,5",(1.201),Dim Sum,Jl. Kh Ahmad Dahlan No.2,
Pusat Kuliner Batan,https://lh5.googleusercontent.com/p/AF1QipMYiQmnjIT8SzfkodBay3ZlIJaIxiyl--qELgpb=w184-h92-k-no,https://www.google.com/maps/place/Pusat+Kuliner+Batan/data=!4m7!3m6!1s0x2e708b6d202283e5:0xf6c68823307612ce!8m2!3d-6.9853034!4d110.4158495!16s%2Fg%2F11g0h14y_m!19sChIJ5YMiIG2LcC4RzhJ2MCOIxvY?authuser=0&hl=id&rclk=1,"4,6",(169),Restoran,"Kuliner Batan Selatan, Jl. Batan Selatan", ⋅ Tutup pukul 01.00
Sky Line - Lounge & Exclusive Dining,https://lh5.googleusercontent.com/p/AF1QipNgVBpXDcfa7pDZHxfbh2OMuruTA63U3w5XznTA=w122-h92-k-no,https://www.google.com/maps/place/Sky+Line+-+Lounge+%26+Exclusive+Dining/data=!4m7!3m6!1s0x2e708b5482ee6359:0x4c449ba0b0c462a6!8m2!3d-6.9776173!4d110.4201574!16s%2Fg%2F1pzw6pz7b!19sChIJWWPuglSLcC4RpmLEsKCbREw?authuser=0&hl=id&rclk=1,"4,7",(388),Restoran,"Gumaya Tower Hotel Semarang, Jl. Gajahmada No.59-61",
Bowery Restaurant,https://lh5.googleusercontent.com/p/AF1QipPhRJNgbbTW3Y-et8r5zZdk7JCZZNNRPe-Z76vs=w122-h92-k-no,https://www.google.com/maps/place/Bowery+Restaurant/data=!4m7!3m6!1s0x2e708ca0a6687807:0x6be16d75837358ac!8m2!3d-6.991362!4d110.4264969!16s%2Fg%2F11c71q10kg!19sChIJB3hopqCMcC4RrFhzg3Vt4Ws?authuser=0&hl=id&rclk=1,"4,6",(2.397),Restoran Mediterania,Jl. Ahmad Yani No.140, ⋅ Tutup pukul 00.00
Waroeng Kaligarong,https://lh5.googleusercontent.com/p/AF1QipNdtC1RlyUjplFn55DzQ04XaiF6VcL4hlU1B7EA=w122-h92-k-no,https://www.google.com/maps/place/Waroeng+Kaligarong/data=!4m7!3m6!1s0x2e708ca7e24cb3dd:0x18b68201607568c3!8m2!3d-6.9852184!4d110.4272871!16s%2Fg%2F11c40tlllk!19sChIJ3bNM4qeMcC4Rw2h1YAGCthg?authuser=0&hl=id&rclk=1,"4,5",(8.571),Indonesia,Jl. Mayor Jend. D.I. Panjaitan No.64,
Ayam Goreng Kampung Kali,https://lh5.googleusercontent.com/p/AF1QipOwtPKvKksPeqdedIbm6n3cRBvUDQLW3x2TP54I=w163-h92-k-no,https://www.google.com/maps/place/Ayam+Goreng+Kampung+Kali/data=!4m7!3m6!1s0x2e708ca881c6cecf:0xb7f7d854c0e4b802!8m2!3d-6.9854483!4d110.4188919!16s%2Fg%2F1hc79bx5q!19sChIJz87GgaiMcC4RArjkwFTY97c?authuser=0&hl=id&rclk=1,"4,4",(3.583),Ayam,Jl. Mayor Jend. D.I. Panjaitan No.45,
Mbah Jingkrak Restaurant,https://lh5.googleusercontent.com/p/AF1QipOh3zSHXsRddG0uWHyE2VUMm_la9i63NUMCYyXf=w163-h92-k-no,https://www.google.com/maps/place/Mbah+Jingkrak+Restaurant/data=!4m7!3m6!1s0x2e70601cf086d9ff:0xd56f2574b52e69ac!8m2!3d-6.9748453!4d110.414664!16s%2Fg%2F1pzt5_rd6!19sChIJ_9mG8BxgcC4RrGkutXQlb9U?authuser=0&hl=id&rclk=1,"4,2",(1.435),Prasmanan,Jl. Taman Beringin No.3,
Ayam Bakar Primarasa,https://lh5.googleusercontent.com/p/AF1QipNcuUjlPLWNgux1YDo9GIeY5UBslPou-v03gkcv=w163-h92-k-no,https://www.google.com/maps/place/Ayam+Bakar+Primarasa/data=!4m7!3m6!1s0x2e708b2e1c7295ad:0x82c24bb90faf3b7c!8m2!3d-6.9833145!4d110.4215774!16s%2Fg%2F11cfdhxb5!19sChIJrZVyHC6LcC4RfDuvD7lLwoI?authuser=0&hl=id&rclk=1,"4,4",(2.795),Ayam,Jl. Gajahmada No.99D, ⋅ Buka Kam pukul 07.00
