Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Richeese Factory Majapahit,https://lh5.googleusercontent.com/p/AF1QipO_-ER-CXJUdKgQfEF2yqAZ8tYp3Sxgbjs60WZC=w122-h92-k-no,https://www.google.com/maps/place/Richeese+Factory+Majapahit/data=!4m7!3m6!1s0x2e708c981485ef99:0x5788a4842c0e01c0!8m2!3d-6.9958434!4d110.4368362!16s%2Fg%2F11bx4l9y8m!19sChIJme-FFJiMcC4RwAEOLISkiFc?authuser=0&hl=id&rclk=1,"4,5",(4.658),Makanan Siap Saji,Jl. Brigjend Katamso No.42, ⋅ Tutup pukul 00.00
Rumah Makan Trimulyo,https://lh5.googleusercontent.com/p/AF1QipMWifra-mVuyAO-rY-NrdeqcgKB78rWAWQd0EE=w80-h131-k-no,https://www.google.com/maps/place/Rumah+Makan+Trimulyo/data=!4m7!3m6!1s0x2e70f34cd74a01eb:0x20aa29f75654e9b7!8m2!3d-6.973981!4d110.4414576!16s%2Fg%2F11g8p0kjn0!19sChIJ6wFK10zzcC4Rt-lUVvcpqiA?authuser=0&hl=id&rclk=1,"4,2",(6),Padang,"2CGR+CH4, Jalan Bogangan Raya Bogangan Gayamsari",
"Rumah Makan ""Sinar""",https://lh5.googleusercontent.com/p/AF1QipOuUgxkbG4iCXD7LZI8Fgxm2gR6RP-5KeDY7hfG=w163-h92-k-no,https://www.google.com/maps/place/Rumah+Makan+%22Sinar%22/data=!4m7!3m6!1s0x2e708dbff6a26121:0xae9341e2570978a9!8m2!3d-6.9861606!4d110.4356249!16s%2Fg%2F11l016c_t0!19sChIJIWGi9r-NcC4RqXgJV-JBk64?authuser=0&hl=id&rclk=1,"5,0",(1),Restoran,"2C7P+G6Q, Jl. Lusipara", ⋅ Tutup Kam pukul 05.00
Kedai ibu romantis,https://lh5.googleusercontent.com/p/AF1QipObAkz7DSrOAC4TZoZWHWKbgKFxXSyZ4cMvx2Gk=w163-h92-k-no,https://www.google.com/maps/place/Kedai+ibu+romantis/data=!4m7!3m6!1s0x2e70f3adf2a255d3:0x57f2b34437d967fb!8m2!3d-6.9591425!4d110.4410816!16s%2Fg%2F11h7fj_5jk!19sChIJ01Wi8q3zcC4R-2fZN0Sz8lc?authuser=0&hl=id&rclk=1,,,Restoran,"2CRR+8CW, Tegal Rejo IV",
Ayam & Bebek Goreng Pak Amad,https://lh5.googleusercontent.com/p/AF1QipNqGehc-zdTZZUZsUvtL7DXXdl9kN1hs-zVAfJV=w122-h92-k-no,https://www.google.com/maps/place/Ayam+%26+Bebek+Goreng+Pak+Amad/data=!4m7!3m6!1s0x2e708ca5fc8712d3:0xf9f79aabb0994c04!8m2!3d-6.9855888!4d110.4324215!16s%2Fg%2F11dxddl2n5!19sChIJ0xKH_KWMcC4RBEyZsKua9_k?authuser=0&hl=id&rclk=1,"4,7",(583),Ayam,Jl. RA. Kartini Los Pasar Langgar No.20B, ⋅ Tutup pukul 03.00
Waroeng Kresna,https://lh5.googleusercontent.com/p/AF1QipMR6hN9esrWmHDckA9C9iCCvO2Cb8bNC1cp7GBg=w122-h92-k-no,https://www.google.com/maps/place/Waroeng+Kresna/data=!4m7!3m6!1s0x2e708d9b28d70723:0xba6734b65bb499e!8m2!3d-6.9905591!4d110.4354496!16s%2Fg%2F11g12g1cf4!19sChIJIwfXKJuNcC4Rnkm7ZUtzpgs?authuser=0&hl=id&rclk=1,"4,4",(129),Restoran,Jl. Hawa IV No.9, ⋅ Buka Kam pukul 11.00
Nasi Gandul Pak Memet,https://lh5.googleusercontent.com/p/AF1QipNvrJGiCMHFW73paeK96I8ysoz0fwj1yf3cDmM=w80-h96-k-no,https://www.google.com/maps/place/Nasi+Gandul+Pak+Memet/data=!4m7!3m6!1s0x2e708ca38456ffe1:0x1b2475452707a84a!8m2!3d-6.9707446!4d110.4341259!16s%2Fg%2F1pzsrwcjl!19sChIJ4f9WhKOMcC4RSqgHJ0V1JBs?authuser=0&hl=id&rclk=1,"4,6",(5.080),Jawa Tengah,Jalan Dokter Cipto No.12, ⋅ Buka Kam pukul 16.30
SIBLINGS,https://lh5.googleusercontent.com/p/AF1QipMDfY7u94BuEZYwzkWDvuozqinVyszmI8Z5_ejq=w163-h92-k-no,https://www.google.com/maps/place/SIBLINGS/data=!4m7!3m6!1s0x2e708d72fbb53f8b:0x365fc546b7b4c304!8m2!3d-6.9841645!4d110.4371129!16s%2Fg%2F11fkcjnwsq!19sChIJiz-1-3KNcC4RBMO0t0bFXzY?authuser=0&hl=id&rclk=1,"4,6",(574),Restoran,"Jl. Purwosari Raya No.63, RT.03/RW.02", ⋅ Buka Kam pukul 10.00
Swike Purwosari Semarang,https://lh5.googleusercontent.com/p/AF1QipNlf1ms48nCFeF5DG2cFNc4LZxLyF5Qe8COSlE1=w122-h92-k-no,https://www.google.com/maps/place/Swike+Purwosari+Semarang/data=!4m7!3m6!1s0x2e708d54109c3c6f:0x557acc322416fc53!8m2!3d-6.9856261!4d110.436407!16s%2Fg%2F11g19734w7!19sChIJbzycEFSNcC4RU_wWJDLMelU?authuser=0&hl=id&rclk=1,"4,6",(595),Restoran,Jl. RA. Kartini No.47, ⋅ Buka Kam pukul 09.30
Warung Makan Cik Gwat - Makanan Masakan Ibu Rumah Sehat dan Lezat,https://lh5.googleusercontent.com/p/AF1QipMsp-irotidG4K3CiZqjsnfAXtYh3VTB1DeddoW=w122-h92-k-no,https://www.google.com/maps/place/Warung+Makan+Cik+Gwat+-+Makanan+Masakan+Ibu+Rumah+Sehat+dan+Lezat/data=!4m7!3m6!1s0x2e70f35239e86ce1:0x7fa0a210e39886bb!8m2!3d-6.970735!4d110.4358638!16s%2Fg%2F11by_g8h4f!19sChIJ4WzoOVLzcC4Ru4aY4xCioH8?authuser=0&hl=id&rclk=1,"4,4",(98),Rumah Makan,2CHP+P85, ⋅ Buka Kam pukul 10.00
