Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Bos Piting (Warung Seafood Kepiting Enak dan Murah di Kota Semarang),https://lh5.googleusercontent.com/p/AF1QipP0NK1r4lxSvbwn01Q2W7uLKtgDdJ9DFvnz7ZQM=w80-h106-k-no,https://www.google.com/maps/place/Bos+Piting+%28Warung+Seafood+Kepiting+Enak+dan+Murah+di+Kota+Semarang%29/data=!4m7!3m6!1s0x2e70f56c4b1c2a4b:0xb563882f546aa54b!8m2!3d-6.9580573!4d110.4128543!16s%2Fg%2F11fn4z5zdp!19sChIJSyocS2z1cC4RS6VqVC-IY7U?authuser=0&hl=id&rclk=1,"4,7",(51),Hidangan Laut,"Jl. Taman Delta Mas, Raya Jl. Tanah Mas Raya No.27",
Angkringan 24,https://lh5.googleusercontent.com/p/AF1QipMMOBZQ0GCcU_ocmTg8H8qlhZr0ydE5gBeMIOKO=w80-h106-k-no,https://www.google.com/maps/place/Angkringan+24/data=!4m7!3m6!1s0x2e70f4b307195785:0x6f4bb69426967546!8m2!3d-6.9735063!4d110.4108511!16s%2Fg%2F11fj10v_9l!19sChIJhVcZB7P0cC4RRnWWJpS2S28?authuser=0&hl=id&rclk=1,"4,7",(161),Rumah Makan,Jl. Satria Bar. II No.107, ⋅ Tutup pukul 03.00
Rumah Makan BERKAT,https://lh5.googleusercontent.com/p/AF1QipMXOyKL49m0wDPY1SCjniQdwDfMERXdD0_-J-p1=w122-h92-k-no,https://www.google.com/maps/place/Rumah+Makan+BERKAT/data=!4m7!3m6!1s0x2e70f4bfda7ed51f:0xda3b7c6dbd41e9ba!8m2!3d-6.9562895!4d110.4046306!16s%2Fg%2F11dxnrtjs8!19sChIJH9V-2r_0cC4RuulBvW18O9o?authuser=0&hl=id&rclk=1,"4,8",(6),Restoran,"2CV3+FVJ, Jl. Tambak Mas Barat", ⋅ Tutup pukul 03.00
RM. Sama Rasa,https://lh5.googleusercontent.com/p/AF1QipMNOA0XHVvFxWd8cMtbNyUrkSkr0WinPHsMkOFV=w122-h92-k-no,https://www.google.com/maps/place/RM.+Sama+Rasa/data=!4m7!3m6!1s0x2e70f4be8376c133:0x9b044566fc0f78a1!8m2!3d-6.9586779!4d110.4079965!16s%2Fg%2F11cjj03nxc!19sChIJM8F2g770cC4RoXgP_GZFBJs?authuser=0&hl=id&rclk=1,"4,5",(1.805),Restoran,Jl. Roda Mas No.32, ⋅ Buka Kam pukul 07.30
The Cactus Eatery & Cafe bagus,https://lh5.googleusercontent.com/p/AF1QipNaH3CWP_EcNhtnx25iIIltSl6gcS_T9jJOchGU=w122-h92-k-no,https://www.google.com/maps/place/The+Cactus+Eatery+%26+Cafe+bagus/data=!4m7!3m6!1s0x2e70f4bf3eed87e3:0xca27741cd5b4a573!8m2!3d-6.9597968!4d110.4042128!16s%2Fg%2F11bxjmc71g!19sChIJ44ftPr_0cC4Rc6W01Rx0J8o?authuser=0&hl=id&rclk=1,"4,5",(201),Restoran,"B23/X, Jl. Selomas Raya", ⋅ Buka Kam pukul 15.00
kuliner gudeg kendil semarang,https://lh5.googleusercontent.com/p/AF1QipMw9Hkhkt5CeIe95FmS51bIBHqQNYE56-BmbojB=w163-h92-k-no,https://www.google.com/maps/place/kuliner+gudeg+kendil+semarang/data=!4m7!3m6!1s0x2e70f4b10c7587cb:0xa63ab56f1b4966db!8m2!3d-6.9689753!4d110.4116209!16s%2Fg%2F11g8wpy2f3!19sChIJy4d1DLH0cC4R22ZJG2-1OqY?authuser=0&hl=id&rclk=1,"4,2",(6),Rumah Makan,Jl. Satria Utara No.230, ⋅ Buka Kam pukul 08.00
Rumah Makan Den Siko,https://lh5.googleusercontent.com/p/AF1QipNILHx47x3ySQFOkEtYNhFsQ8C6vh50DUMaE7Hs=w163-h92-k-no,https://www.google.com/maps/place/Rumah+Makan+Den+Siko/data=!4m7!3m6!1s0x2e70f4a8746d9057:0xa17c2de643267d46!8m2!3d-6.96797!4d110.425015!16s%2Fg%2F11bc7sv4l9!19sChIJV5BtdKj0cC4RRn0mQ-YtfKE?authuser=0&hl=id&rclk=1,"4,7",(14),Padang,Jl. Empu Tantular No.2A, ⋅ Buka Kam pukul 08.00
Bess Food 89,https://lh5.googleusercontent.com/p/AF1QipOlcAIkUwiDPqzHu_V8uYR4R2Pg05PnLFysbXUm=w117-h92-k-no,https://www.google.com/maps/place/Bess+Food+89/data=!4m7!3m6!1s0x2e70f55934370f97:0x2bfd6a9a8cba4705!8m2!3d-6.9596413!4d110.4040651!16s%2Fg%2F11gy9r25pw!19sChIJlw83NFn1cC4RBUe6jJpq_Ss?authuser=0&hl=id&rclk=1,"4,9",(23),Restoran,"Jalan Selomas Raya B22a/XI, RT.008/RW.011", ⋅ Buka Kam pukul 17.00
Spiegel Bar & Bistro,https://lh5.googleusercontent.com/p/AF1QipNDFkAFRgD0GxjWaKNw9B0F42FKFH2LAgcZqu_A=w163-h92-k-no,https://www.google.com/maps/place/Spiegel+Bar+%26+Bistro/data=!4m7!3m6!1s0x2e70f35645b5ee07:0xc16b477d1b7f7bd4!8m2!3d-6.9681654!4d110.4284847!16s%2Fg%2F11bymw78ty!19sChIJB-61RVbzcC4R1Ht_G31Ha8E?authuser=0&hl=id&rclk=1,"4,6",(7.068),Bistro,Jl. Letjen Suprapto No.34,
Seafood Pak Sangklak Semarang,https://lh5.googleusercontent.com/p/AF1QipOA4iVJp7xh-AFPuQPec3L9Y79dF8VwaS2cRo37=w163-h92-k-no,https://www.google.com/maps/place/Seafood+Pak+Sangklak+Semarang/data=!4m7!3m6!1s0x2e70f4be9d044073:0x983a000c38fab32!8m2!3d-6.9591532!4d110.4098702!16s%2Fg%2F1pzw0pv23!19sChIJc0AEnb70cC4RMquPwwCggwk?authuser=0&hl=id&rclk=1,"4,4",(1.978),Hidangan Laut,Jl. Telagamas Raya No.B1,
