Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Tower Cafe Semarang,https://lh5.googleusercontent.com/p/AF1QipNJn5ZGYH0El9AguL8RAhBwSGdtYvgNhPdnrDGD=w122-h92-k-no,https://www.google.com/maps/place/Tower+Cafe+Semarang/data=!4m7!3m6!1s0x2e708eaf78043143:0x3436986c87152b9f!8m2!3d-7.0634902!4d110.4367697!16s%2Fg%2F11c2nqfh01!19sChIJQzEEeK-OcC4RnysVh2yYNjQ?authuser=0&hl=id&rclk=1,"4,2",(1.893),Masakan Asia,Jl. Banjarsari Selatan No.49B,
Nasi Kuning Pasundan 1,https://lh5.googleusercontent.com/p/AF1QipOdiGIp9YZneshg2NUDwAfh5vOGxleZGJIGyt6l=w163-h92-k-no,https://www.google.com/maps/place/Nasi+Kuning+Pasundan+1/data=!4m7!3m6!1s0x2e708ea44c63cf73:0x390d341078745ffd!8m2!3d-7.0626527!4d110.4412435!16s%2Fg%2F11cn5p9cs7!19sChIJc89jTKSOcC4R_V90eBA0DTk?authuser=0&hl=id&rclk=1,"4,5",(1.584),Indonesia,Jl. Gondang Raya No.12,
Burjo Motekar 10,https://lh5.googleusercontent.com/p/AF1QipOjm-8lD2wRTFkBiUyvXquPrWySePGMod90V__c=w163-h92-k-no,https://www.google.com/maps/place/Burjo+Motekar+10/data=!4m7!3m6!1s0x2e708ea690705c85:0xdce4781607e7e0a3!8m2!3d-7.0601981!4d110.4419179!16s%2Fg%2F11c6qt84d3!19sChIJhVxwkKaOcC4Ro-DnBxZ45Nw?authuser=0&hl=id&rclk=1,"4,5",(1.194),Restoran,Jl. Gondang Raya No.1,
Teras Kitchen Tembalang,https://lh5.googleusercontent.com/p/AF1QipPPZ3FZgby6A1rXPsvrlOlQf6MIHjLWujZGBXLn=w122-h92-k-no,https://www.google.com/maps/place/Teras+Kitchen+Tembalang/data=!4m7!3m6!1s0x2e708fde00e997df:0x8d141a6614536adf!8m2!3d-7.0633601!4d110.4366068!16s%2Fg%2F11jblw4jpn!19sChIJ35fpAN6PcC4R32pTFGYaFI0?authuser=0&hl=id&rclk=1,"4,6",(99),Restoran,Jl. Banjarsari Selatan No.49a, ⋅ Tutup pukul 01.00
Ayam geprek D Queen S Tembalang,https://lh5.googleusercontent.com/p/AF1QipMD2AV4_IXFF3WGad-XdglxJnXhBpjmSEw0MVbe=w80-h100-k-no,https://www.google.com/maps/place/Ayam+geprek+D+Queen+S+Tembalang/data=!4m7!3m6!1s0x2e708f95dac103c3:0x8d0a57f90efdabf5!8m2!3d-7.0614349!4d110.4414525!16s%2Fg%2F11ftbnrhjq!19sChIJwwPB2pWPcC4R9av9DvlXCo0?authuser=0&hl=id&rclk=1,"5,0",(3),Ayam,Jl. Gondang Raya No.14,
Waroeng Singgah Bambu,https://lh5.googleusercontent.com/p/AF1QipPWgY-V92fnXj_FvrY302KBREPBHjwMGBZY42Dt=w122-h92-k-no,https://www.google.com/maps/place/Waroeng+Singgah+Bambu/data=!4m7!3m6!1s0x2e708ea7fe95b667:0x4c78ccfad3e140a5!8m2!3d-7.0561998!4d110.438445!16s%2Fg%2F11c60jfhmj!19sChIJZ7aV_qeOcC4RpUDh0_rMeEw?authuser=0&hl=id&rclk=1,"4,6",(114),Rumah Makan,Jl. Prof. Sudarto Jl. Tunjungsari No.1, ⋅ Buka Kam pukul 10.30
Warung Makan Siwungu,https://lh5.googleusercontent.com/p/AF1QipPZh64Zb7iBqS5H7zZUyMsI1MKuGWNPkeuMJha6=w80-h106-k-no,https://www.google.com/maps/place/Warung+Makan+Siwungu/data=!4m7!3m6!1s0x2e708ea7f6c82c81:0xa912e7074da257cb!8m2!3d-7.056215!4d110.439148!16s%2Fg%2F11dy_k3qq6!19sChIJgSzI9qeOcC4Ry1eiTQfnEqk?authuser=0&hl=id&rclk=1,"4,5",(76),Indonesia,"Jalan Prof Sudharto, Tembalang", ⋅ Buka Kam pukul 08.00
Warung FSC Tembalang,https://lh5.googleusercontent.com/p/AF1QipNkV2FmgyyNKo1p7mjDIO_1SD8kgakuDfdHncQF=w122-h92-k-no,https://www.google.com/maps/place/Warung+FSC+Tembalang/data=!4m7!3m6!1s0x2e708ea8921b6653:0xe4f3e0275a6c4f34!8m2!3d-7.0595603!4d110.4369736!16s%2Fg%2F11c6r8klmz!19sChIJU2YbkqiOcC4RNE9sWifg8-Q?authuser=0&hl=id&rclk=1,"4,3",(961),Rumah Makan,Jl. Banjarsari No.9, ⋅ Buka Kam pukul 09.00
"Waroeng Spesial Sambal ""SS"" Tembalang",https://lh5.googleusercontent.com/p/AF1QipMxi8xq_lDX_6ICHbP861yGfkEfPcJStVN7lVcm=w122-h92-k-no,https://www.google.com/maps/place/Waroeng+Spesial+Sambal+%22SS%22+Tembalang/data=!4m7!3m6!1s0x2e708eaa86d0863f:0xf575ec8d1cb7e39d!8m2!3d-7.0568018!4d110.4289092!16s%2Fg%2F11c609d_sq!19sChIJP4bQhqqOcC4RneO3HI3sdfU?authuser=0&hl=id&rclk=1,"4,3",(3.440),Rumah Makan,Jl. Tirto Agung No.32, ⋅ Buka Kam pukul 10.00
Depot Sukses Tembalang,https://lh5.googleusercontent.com/p/AF1QipNqKjuPnqibiouoqrCOGGlDuq-8cTJSoE2XKNR8=w80-h106-k-no,https://www.google.com/maps/place/Depot+Sukses+Tembalang/data=!4m7!3m6!1s0x2e708ea9e711848b:0x642aa28680be222e!8m2!3d-7.0583681!4d110.4347852!16s%2Fg%2F11dfgry3ck!19sChIJi4QR56mOcC4RLiK-gIaiKmQ?authuser=0&hl=id&rclk=1,"4,5",(2.721),Jepang,Jl. Jatimulyo No.5A, ⋅ Buka Kam pukul 12.00
