Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Gudeg Kulon Tugu,https://lh5.googleusercontent.com/p/AF1QipPz4XaRa8yfxMXXZbmhVxZX_Me2VM2WGe8eO1tm=w163-h92-k-no,https://www.google.com/maps/place/Gudeg+Kulon+Tugu/data=!4m7!3m6!1s0x2e7a583a78dbbb53:0x5f95e499966e8eef!8m2!3d-7.7827809!4d110.3664737!16s%2Fg%2F11b_2vd__y!19sChIJU7vbeDpYei4R745ulpnklV8?authuser=0&hl=id&rclk=1,"4,5",(225),Sate,Jl. Pangeran Diponegoro No.14, ⋅ 00.00 ⋅ Buka Kam pukul 18.00
Geprek dan Penyetan Bu Yati,https://lh5.googleusercontent.com/p/AF1QipNe_3R7WyfDVtcs7ZNZ2pXKPteC9Sw_N5UL2aDx=w80-h142-k-no,https://www.google.com/maps/place/Geprek+dan+Penyetan+Bu+Yati/data=!4m7!3m6!1s0x2e708bc032dfe71b:0xba90bde34f76eefa!8m2!3d-6.9859082!4d110.3581833!16s%2Fg%2F11rkbpv0t1!19sChIJG-ffMsCLcC4R-u52T-O9kLo?authuser=0&hl=id&rclk=1,"3,2",(9),Rumah Makan,"2975+J7M, Jl. Ngepos II",
Kebon Ndalem Coffee & Eatery,https://lh5.googleusercontent.com/p/AF1QipM2e37AjSFsQOiRrhKhPTjfbvI5hBKEq53Id-vL=w122-h92-k-no,https://www.google.com/maps/place/Kebon+Ndalem+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2e7a5925121fd78f:0x51c90a620eaad3be!8m2!3d-7.7826892!4d110.366864!16s%2Fg%2F11flqq0hk4!19sChIJj9cfEiVZei4RvtOqDmIKyVE?authuser=0&hl=id&rclk=1,"4,5",(3.345),Restoran,Jl. Pangeran Diponegoro No.2,
Soto Ayam Lamongan,https://lh5.googleusercontent.com/p/AF1QipP_dXnWycFNGsUmTfEn0n5u4ZulnvRCkDVZfhjW=w163-h92-k-no,https://www.google.com/maps/place/Soto+Ayam+Lamongan/data=!4m7!3m6!1s0x2e708ac9a6a7c4d7:0xda0ca036c6b91d5a!8m2!3d-6.9850015!4d110.3573268!16s%2Fg%2F11bzrq2ld8!19sChIJ18SnpsmKcC4RWh25xjagDNo?authuser=0&hl=id&rclk=1,"4,7",(7),Soto Ayam,"2974+XWW, Jl. Walisongo",
Soto Sampah,https://lh5.googleusercontent.com/p/AF1QipMD8bNSDgXGlrke3BzSjhAozWcMPcSsoTOGWZVE=w163-h92-k-no,https://www.google.com/maps/place/Soto+Sampah/data=!4m7!3m6!1s0x2e7a58309d8d93a5:0xcf08db25c2460f04!8m2!3d-7.7816219!4d110.3669409!16s%2Fg%2F11cmtsv0j0!19sChIJpZONnTBYei4RBA9GwiXbCM8?authuser=0&hl=id&rclk=1,"4,3",(2.662),Soto Ayam,Jl. Kranggan No.2,
Nasi Goreng & Mie Jowo Gendok (masak pake areng),https://lh5.googleusercontent.com/p/AF1QipORvroBBOr2SOeudVKULACSxom0X-kraYla8j1Z=w163-h92-k-no,https://www.google.com/maps/place/Nasi+Goreng+%26+Mie+Jowo+Gendok+%28masak+pake+areng%29/data=!4m7!3m6!1s0x2e708b1c247ab1ff:0xf60dcbdb23bf6fd8!8m2!3d-6.9842079!4d110.3565977!16s%2Fg%2F11qqr2khc5!19sChIJ_7F6JByLcC4R2G-_I9vLDfY?authuser=0&hl=id&rclk=1,"5,0",(2),Indonesia,Jl. Walisongo No.2012, ⋅ 00.00 ⋅ Buka Kam pukul 18.00
Warung Lamongan Cak Andik,https://lh5.googleusercontent.com/p/AF1QipMoST6wMNJje7mtRdGhl7nbjka72MFOA8-AnHOk=w163-h92-k-no,https://www.google.com/maps/place/Warung+Lamongan+Cak+Andik/data=!4m7!3m6!1s0x2e708b33eef10e29:0xefd1d88fc449aa2c!8m2!3d-6.9858141!4d110.3441587!16s%2Fg%2F11f6mpvc2c!19sChIJKQ7x7jOLcC4RLKpJxI_Y0e8?authuser=0&hl=id&rclk=1,"4,8",(4),Rumah Makan,"Jl. Nasional 1, RW.45", ⋅ Tutup pukul 01.00
Nasi goreng kang ragil,https://lh5.googleusercontent.com/p/AF1QipOQf4Y9tzAcOKhoGYxr1RqK2-20NKhe43uqlg4=w122-h92-k-no,https://www.google.com/maps/place/Nasi+goreng+kang+ragil/data=!4m7!3m6!1s0x2e708be8a37b92b3:0xe9e2eca1c2f4bf7b!8m2!3d-6.9844252!4d110.3525568!16s%2Fg%2F11ppfjs0my!19sChIJs5J7o-iLcC4Re7_0wqHs4uk?authuser=0&hl=id&rclk=1,"4,7",(12),Nasi Goreng,Jl. Tugu Lap. V No.41, ⋅ Tutup pukul 01.00
Nasi Goreng Mas Bagas,https://lh5.googleusercontent.com/p/AF1QipMMep8JelbzLyKANBNtQP225bwuo8q3_-gXjVKG=w163-h92-k-no,https://www.google.com/maps/place/Nasi+Goreng+Mas+Bagas/data=!4m7!3m6!1s0x2e708b373327ac01:0x709921ba226c491e!8m2!3d-6.9813974!4d110.3437738!16s%2Fg%2F11g1zdv28k!19sChIJAawnMzeLcC4RHklsIrohmXA?authuser=0&hl=id&rclk=1,"4,6",(122),Nasi Goreng,Jl. Tapak Raya No.14, ⋅ 00.00 ⋅ Buka Kam pukul 06.00
Angkringan adji,https://lh5.googleusercontent.com/p/AF1QipN-vIfwmA8NZfzb4AoVpCm771U6dj7E5MEzfCMB=w122-h92-k-no,https://www.google.com/maps/place/Angkringan+adji/data=!4m7!3m6!1s0x2e70f5dc80f11bc7:0x8123d8f7ea327de8!8m2!3d-6.9769156!4d110.3366421!16s%2Fg%2F11p73b18pj!19sChIJxxvxgNz1cC4R6H0y6vfYI4E?authuser=0&hl=id&rclk=1,"5,0",(3),Nasi,Karanganyar rt 07 rw 03, ⋅ Tutup pukul 04.00
Warung Tugu Lilin,https://lh5.googleusercontent.com/p/AF1QipMAaVHUbVjZhZ0F6_InV20ScFVWAnbgsTMCSlpX=w163-h92-k-no,https://www.google.com/maps/place/Warung+Tugu+Lilin/data=!4m7!3m6!1s0x2e7061107d38ad55:0x53e74b4b2055eb83!8m2!3d-6.9996193!4d110.3018107!16s%2Fg%2F11hz12brbh!19sChIJVa04fRBhcC4Rg-tVIEtL51M?authuser=0&hl=id&rclk=1,"4,1",(23),Rumah Makan,"2822+5P3, Jl. Palir Kaliancar",
Angkringan Pak Jabrik,https://lh5.googleusercontent.com/p/AF1QipMMhavd3OSEwZAomBTQ8B1BG2__2gwfNNsknb-w=w122-h92-k-no,https://www.google.com/maps/place/Angkringan+Pak+Jabrik/data=!4m7!3m6!1s0x2e7a58300053d1c1:0x875b94f5c3984cc4!8m2!3d-7.7855115!4d110.3668976!16s%2Fg%2F11cjj08w1b!19sChIJwdFTADBYei4RxEyYw_WUW4c?authuser=0&hl=id&rclk=1,"4,2",(2.370),Sate,"6978+QQR, Jl. P. Mangkubumi", ⋅ Tutup Kam pukul 04.30
Keday rumah makan cak yon,https://lh5.googleusercontent.com/p/AF1QipNaCBWuFixUuLKVwnH9gDhAmb4zpPMgaP7ndOwF=w80-h142-k-no,https://www.google.com/maps/place/Keday+rumah+makan+cak+yon/data=!4m7!3m6!1s0x2e705fc0c65edd0f:0xc83e0fc841603ef9!8m2!3d-6.9609493!4d110.3020193!16s%2Fg%2F11jznts5xn!19sChIJD91exsBfcC4R-T5gQcgPPsg?authuser=0&hl=id&rclk=1,,,Rumah Makan,"28Q2+JRC, Jl. Delik Jl. Irigasi Utara", ⋅ Tutup pukul 02.00
Kedai Asix Tugu,https://lh5.googleusercontent.com/p/AF1QipMIqemAj7vhSGQnWLt4xdj1ZjeY7r6Fbg437heB=w163-h92-k-no,https://www.google.com/maps/place/Kedai+Asix+Tugu/data=!4m7!3m6!1s0x2e7a7925a8aa92ed:0x2f4875e65b3dc49b!8m2!3d-7.3693366!4d110.5167028!16s%2Fg%2F11j48qzm8q!19sChIJ7ZKqqCV5ei4Rm8Q9W-Z1SC8?authuser=0&hl=id&rclk=1,"4,9",(29),Restoran,JGJ8+7M8, ⋅ Buka Kam pukul 09.00
Kuliner Lor Tugu,https://lh5.googleusercontent.com/p/AF1QipMv-bijTc1lUO41XTDSoeeZ7Vxja-fGl96cnZ0j=w80-h141-k-no,https://www.google.com/maps/place/Kuliner+Lor+Tugu/data=!4m7!3m6!1s0x2e7a595f74aa7a5b:0x5dc70871f6fcff!8m2!3d-7.7820461!4d110.3676247!16s%2Fg%2F11j0yj89fd!19sChIJW3qqdF9Zei4R__z2cQjHXQA?authuser=0&hl=id&rclk=1,"4,6",(1.065),Restoran,Jl. A.M. Sangaji, ⋅ Buka Kam pukul 11.00
Warung Makan Bu Noor,https://lh5.googleusercontent.com/p/AF1QipMfMdjdB-ExjahZvdKQBOX9ae3ax_BO6uv17qHE=w92-h92-k-no,https://www.google.com/maps/place/Warung+Makan+Bu+Noor/data=!4m7!3m6!1s0x2e708b887a125731:0x916a47a8b1b1e90!8m2!3d-6.9855131!4d110.3593129!16s%2Fg%2F11hdt50f7x!19sChIJMVcSeoiLcC4RkB4bi3qkFgk?authuser=0&hl=id&rclk=1,"5,0",(2),Restoran,"2975+QPW, Jl. Walisongo Jl. Ngepos Raya", ⋅ Buka Kam pukul 07.00
TUGU LOR,https://lh5.googleusercontent.com/p/AF1QipOpPgr19ty1g0_95NUSZAATnSggsyhaa3ZZVAqc=w80-h106-k-no,https://www.google.com/maps/place/TUGU+LOR/data=!4m7!3m6!1s0x2e7a5918df8e53fb:0x143c2532fe3025a6!8m2!3d-7.7740887!4d110.368301!16s%2Fg%2F11gxzs3tht!19sChIJ-1OO3xhZei4RpiUw_jIlPBQ?authuser=0&hl=id&rclk=1,"4,5",(1.618),Kedai Kopi,, ⋅ Buka Kam pukul 08.00
Warung Makan Pak Bagong,https://lh5.googleusercontent.com/p/AF1QipOnvVPtYzf-qU23AHPS9sLMdbbmJnwUxK5R8A_k=w163-h92-k-no,https://www.google.com/maps/place/Warung+Makan+Pak+Bagong/data=!4m7!3m6!1s0x2e705ffcad3a8db1:0xf1fffbd087aae79d!8m2!3d-6.97533!4d110.3186176!16s%2Fg%2F11gbzc08rv!19sChIJsY06rfxfcC4Rneeqh9D7__E?authuser=0&hl=id&rclk=1,"5,0",(1),Restoran,"Jl. Raya Randugarut No.35, RT.02/RW.10",
Ayam Geprek dan Brownies TugU,https://lh5.googleusercontent.com/p/AF1QipO5DME-P-xpB6lA5hp2C29RKJmgp1son2vsbT2q=w122-h92-k-no,https://www.google.com/maps/place/Ayam+Geprek+dan+Brownies+TugU/data=!4m7!3m6!1s0x2e708d20f4e6b073:0xae1609010683d32a!8m2!3d-6.9768713!4d110.4809914!16s%2Fg%2F11fj88z1r8!19sChIJc7Dm9CCNcC4RKtODBgEJFq4?authuser=0&hl=id&rclk=1,"4,2",(9),Ayam,Jl.Sedayu Tugu Bangetayu Kulon, ⋅ Buka Kam pukul 10.00
Pak Kus Rumah Makan,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=v40qYPVn21zSlFPUWQFbLA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=18.794588&pitch=0&thumbfov=100,https://www.google.com/maps/place/Pak+Kus+Rumah+Makan/data=!4m7!3m6!1s0x2e708aca02dc1057:0x7035072ba531307a!8m2!3d-6.9858072!4d110.3581438!16s%2Fg%2F1pzvm13ch!19sChIJVxDcAsqKcC4RejAxpSsHNXA?authuser=0&hl=id&rclk=1,"3,3",(4),Sesuai untuk keluarga,Jl. Walisongo No.36 RT 001/01, ⋅ Buka Kam pukul 09.00
Nasi Goreng Pakde Kiw,https://lh5.googleusercontent.com/p/AF1QipP4wPBlIbwh03AFENlSLzVMFitBDTi82xy79_sr=w80-h106-k-no,https://www.google.com/maps/place/Nasi+Goreng+Pakde+Kiw/data=!4m7!3m6!1s0x2e705ffeaca5393f:0x37c41ba4a24d9d66!8m2!3d-6.9748083!4d110.3252701!16s%2Fg%2F11dx9h2cn3!19sChIJPzmlrP5fcC4RZp1NoqQbxDc?authuser=0&hl=id&rclk=1,"4,3",(29),Nasi Goreng,Jl. Tugu Industri I, ⋅ 00.00 ⋅ Buka Kam pukul 04.20
