Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Pusat oleh oleh POJOK JAWA TENGAH,https://lh5.googleusercontent.com/p/AF1QipPglvedsa9BdKnc9P2k1i7C4kbQvyImfYQtjbER=w80-h142-k-no,https://www.google.com/maps/place/Pusat+oleh+oleh+POJOK+JAWA+TENGAH/data=!4m7!3m6!1s0x2e7089e380440dff:0x9432c382895a7b7d!8m2!3d-7.0635739!4d110.4131806!16s%2Fg%2F11tcdqttqh!19sChIJ_w1EgOOJcC4RfXtaiYLDMpQ?authuser=0&hl=id&rclk=1,,,Toko Swalayan,"UMKM Center, Jl. Setia Budi No.mor 192", ⋅ Tutup pukul 19.30
HAZ OLEH OLEH SEMARANG,https://lh5.googleusercontent.com/p/AF1QipOy9e0E5CQRle2hdbdH1ZccENbjciqrZWhRiqNp=w80-h164-k-no,https://www.google.com/maps/place/HAZ+OLEH+OLEH+SEMARANG/data=!4m7!3m6!1s0x2e70899a03563797:0xc49e59d2cbdf8c08!8m2!3d-7.0617239!4d110.417211!16s%2Fg%2F11k58n0841!19sChIJlzdWA5qJcC4RCIzfy9JZnsQ?authuser=0&hl=id&rclk=1,"5,0",(5),Pusat Perbelanjaan,Jl. Durian Raya No.27,
Toko Oleh - Oleh Milih Niki,https://lh5.googleusercontent.com/p/AF1QipNVKs9NhONSBfgfHu9u1RUqeZS86Xa_6pPhj8-2=w80-h106-k-no,https://www.google.com/maps/place/Toko+Oleh+-+Oleh+Milih+Niki/data=!4m7!3m6!1s0x2e70894664758295:0x2f436d190e7fd0cb!8m2!3d-7.073283!4d110.411681!16s%2Fg%2F11f34zp9vq!19sChIJlYJ1ZEaJcC4Ry9B_DhltQy8?authuser=0&hl=id&rclk=1,"4,6",(43),Toko Makanan,"WCG6+MMM, Jl. Kr. Rejo Raya", ⋅ Tutup pukul 22.00
Oleh oleh haji umroh semarang PS Muslim Galeri,https://lh5.googleusercontent.com/p/AF1QipOLiqGo8vebCuru-Wq39e5wisOFHVnRMlagvRYa=w122-h92-k-no,https://www.google.com/maps/place/Oleh+oleh+haji+umroh+semarang+PS+Muslim+Galeri/data=!4m7!3m6!1s0x2e708dfb373eb46b:0x6470444b421b81bb!8m2!3d-7.059495!4d110.4263413!16s%2Fg%2F11gjx06rs5!19sChIJa7Q-N_uNcC4Ru4EbQktEcGQ?authuser=0&hl=id&rclk=1,"4,2",(6),Pusat Perbelanjaan,Jl. Genade Selatan No.17, ⋅ 17.00 ⋅ Buka Sen pukul 09.00
Toko Karona Sumurboto Banyumanik,https://lh5.googleusercontent.com/p/AF1QipO7i57PHbqRZJPIjwsdfBVt463N0TOVeCy_UgKd=w80-h141-k-no,https://www.google.com/maps/place/Toko+Karona+Sumurboto+Banyumanik/data=!4m7!3m6!1s0x2e708bf9767d589b:0xe216ecd886881e83!8m2!3d-7.0493215!4d110.4206895!16s%2Fg%2F1hm3sdk0r!19sChIJm1h9dvmLcC4Rgx6IhtjsFuI?authuser=0&hl=id&rclk=1,"4,1",(137),Toko,Jl. Ngesrep Tim. V No.6, ⋅ Tutup pukul 21.00
Oleh oleh khas semarang,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gBYAncfBqT0zTeM_vRVRtA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=277.04022&pitch=0&thumbfov=100,https://www.google.com/maps/place/Oleh+oleh+khas+semarang/data=!4m7!3m6!1s0x2e708dc720233aa7:0x5ee6cb2fe317f6e5!8m2!3d-7.0193497!4d110.4288311!16s%2Fg%2F11fnc2cbcw!19sChIJpzojIMeNcC4R5fYX4y_L5l4?authuser=0&hl=id&rclk=1,"2,4",(9),Toko Obat,"XCJH+7G8, Jl. Jangli Karanganyar Legok",
Tahu Bakso SAFIRA,https://lh5.googleusercontent.com/p/AF1QipORp_RVOahFZt05auejTIauO-yq2n0nsWWbg2l7=w163-h92-k-no,https://www.google.com/maps/place/Tahu+Bakso+SAFIRA/data=!4m7!3m6!1s0x2e70895a6275a383:0xed2e6ce73da4d3da!8m2!3d-7.0648578!4d110.4136766!16s%2Fg%2F11dfh4cydp!19sChIJg6N1YlqJcC4R2tOkPedsLu0?authuser=0&hl=id&rclk=1,"4,5",(852),Toko Tahu,Jl. Sukun Raya No.17, ⋅ 17.00 ⋅ Buka Min pukul 07.00
Oleh-Oleh Semarang,https://lh5.googleusercontent.com/p/AF1QipNVDLdu0nVfd_s1xLTaon1GC9H6oX6KIIa9qC-z=w92-h92-k-no,https://www.google.com/maps/place/Oleh-Oleh+Semarang/data=!4m7!3m6!1s0x2e708f32203be895:0x64f8f9d36ba66b8e!8m2!3d-7.0671984!4d110.4450015!16s%2Fg%2F11j1244vxy!19sChIJleg7IDKPcC4Rjmuma9P5-GQ?authuser=0&hl=id&rclk=1,"4,0",(1),Pemasok Produk Makanan,Grand Tembalang Regency Blok D4 Nomor 5, ⋅ Tutup pukul 21.00
Bakpia Kukus Tugu Jogja Semarang - Tembalang,https://lh5.googleusercontent.com/p/AF1QipMjhEmaT0rqlE_4_zc3_DnRryAhacCGXe8EqFA5=w122-h92-k-no,https://www.google.com/maps/place/Bakpia+Kukus+Tugu+Jogja+Semarang+-+Tembalang/data=!4m7!3m6!1s0x2e708fe97af815c7:0x94f6a033f5080641!8m2!3d-7.0566677!4d110.4289204!16s%2Fg%2F11tc8s7_p0!19sChIJxxX4eumPcC4RQQYI9TOg9pQ?authuser=0&hl=id&rclk=1,"4,6",(23),Toko Roti,Jl. Tirto Agung No.30, ⋅ Tutup pukul 21.30
Lekker Dan Kopi By Lekker Story,https://lh5.googleusercontent.com/p/AF1QipNR62pIfN9oMdR3xtNLBivA9QhG0Dke4tnV_-ye=w80-h106-k-no,https://www.google.com/maps/place/Lekker+Dan+Kopi+By+Lekker+Story/data=!4m7!3m6!1s0x2e708bdc79c67193:0x4571bb8ccd50939a!8m2!3d-7.0507972!4d110.4240813!16s%2Fg%2F11fkvq_cy6!19sChIJk3HGedyLcC4RmpNQzYy7cUU?authuser=0&hl=id&rclk=1,"4,7",(126),Kafe,Jl. Ngesrep Tim. V No.54, ⋅ Tutup pukul 21.00
