Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Oleh-Oleh Semarang,https://lh5.googleusercontent.com/p/AF1QipNVDLdu0nVfd_s1xLTaon1GC9H6oX6KIIa9qC-z=w92-h92-k-no,https://www.google.com/maps/place/Oleh-Oleh+Semarang/data=!4m7!3m6!1s0x2e708f32203be895:0x64f8f9d36ba66b8e!8m2!3d-7.0671984!4d110.4450015!16s%2Fg%2F11j1244vxy!19sChIJleg7IDKPcC4Rjmuma9P5-GQ?authuser=0&hl=id&rclk=1,"4,0",(1),Pemasok Produk Makanan,Grand Tembalang Regency Blok D4 Nomor 5, ⋅ Tutup pukul 21.00
New Citra - Pusat Oleh Oleh Semarang,https://lh5.googleusercontent.com/p/AF1QipPz07BEqsKGOxCrtS77OlZMXEMxpqwpTv_ZaM9y=w80-h142-k-no,https://www.google.com/maps/place/New+Citra+-+Pusat+Oleh+Oleh+Semarang/data=!4m7!3m6!1s0x2e708db25d3bb287:0x7258563e88a1afa2!8m2!3d-7.0137604!4d110.4499357!16s%2Fg%2F11j12_1495!19sChIJh7I7XbKNcC4Roq-hiD5WWHI?authuser=0&hl=id&rclk=1,"4,9",(17),Pusat Bisnis,Jl. Rogojembangan Barat I No.31,
Oleh oleh khas semarang,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gBYAncfBqT0zTeM_vRVRtA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=277.04022&pitch=0&thumbfov=100,https://www.google.com/maps/place/Oleh+oleh+khas+semarang/data=!4m7!3m6!1s0x2e708dc720233aa7:0x5ee6cb2fe317f6e5!8m2!3d-7.0193497!4d110.4288311!16s%2Fg%2F11fnc2cbcw!19sChIJpzojIMeNcC4R5fYX4y_L5l4?authuser=0&hl=id&rclk=1,"2,4",(9),Toko Obat,"XCJH+7G8, Jl. Jangli Karanganyar Legok",
Oleh Oleh Khas Semarang Kue Tanduk Murni,https://lh5.googleusercontent.com/p/AF1QipNcN51LDiqlvBlRatRc3XzjPPMkDzcK2bY4VAKn=w122-h92-k-no,https://www.google.com/maps/place/Oleh+Oleh+Khas+Semarang+Kue+Tanduk+Murni/data=!4m7!3m6!1s0x2e708db2ba72f259:0xc592cf2a85a81cf2!8m2!3d-7.024733!4d110.4746182!16s%2Fg%2F11gcc80m23!19sChIJWfJyurKNcC4R8hyohSrPksU?authuser=0&hl=id&rclk=1,"4,6",(51),Pastri,Jl. Sinar Kencana V No.906, ⋅ Buka Sen pukul 09.00
Pusat Oleh-Oleh Lunpia Semar Tahu Bakso,https://lh5.googleusercontent.com/p/AF1QipNlTPjXUclad8jnNX8UriNSk6I9maCAQrZd7lYf=w163-h92-k-no,https://www.google.com/maps/place/Pusat+Oleh-Oleh+Lunpia+Semar+Tahu+Bakso/data=!4m7!3m6!1s0x2e708d9e39c435a3:0xbcef4fec27a16868!8m2!3d-7.0239007!4d110.4591961!16s%2Fg%2F11ty4hr061!19sChIJozXEOZ6NcC4RaGihJ-xP77w?authuser=0&hl=id&rclk=1,,,Pemasok Produk Makanan,"XFG5+CMP Jalan, Jl. Kedungmundu",
Tembalang,https://lh5.googleusercontent.com/p/AF1QipO_-anm_8bUmNX965s3IlJqKGsjCuLS_vZbdCkU=w80-h177-k-no,https://www.google.com/maps/place/Tembalang/data=!4m7!3m6!1s0x2e708d2e1aa0e123:0xcaecf167d04040c4!8m2!3d-7.0300657!4d110.4585609!16s%2Fg%2F11sr60vppc!19sChIJI-GgGi6NcC4RxEBA0Gfx7Mo?authuser=0&hl=id&rclk=1,"4,0",(1),Pusat Perbelanjaan,Jl. Sambiroto Raya No.100,
Souvenir SJU,https://lh5.googleusercontent.com/p/AF1QipOsuEHKX1-iLsPTWuNVkz9NcVEOijhyC3a69s4w=w122-h92-k-no,https://www.google.com/maps/place/Souvenir+SJU/data=!4m7!3m6!1s0x2e708b60f7e6a119:0x3c752797c7f576ce!8m2!3d-7.0321069!4d110.4614957!16s%2Fg%2F11c1qhy9by!19sChIJGaHm92CLcC4Rznb1x5cndTw?authuser=0&hl=id&rclk=1,"4,5",(22),Toko Suvenir,Jl. Nilam IV, ⋅ Tutup pukul 21.00
Oleh Oleh 52 Semarang,https://lh5.googleusercontent.com/p/AF1QipOmn_YHcBngAd11S4FVowdAn0S-2EM74aiB-xte=w122-h92-k-no,https://www.google.com/maps/place/Oleh+Oleh+52+Semarang/data=!4m7!3m6!1s0x2e708b35d74e29cd:0x8152942bae48bd9c!8m2!3d-6.981151!4d110.3999909!16s%2Fg%2F11g6bg9252!19sChIJzSlO1zWLcC4RnL1IriuUUoE?authuser=0&hl=id&rclk=1,"4,4",(818),Toko Suvenir,"Karangayu, Jl. Jenderal Sudirman No.134", ⋅ Tutup pukul 22.00
Warung Serba Ada Bu Yah,https://lh5.googleusercontent.com/p/AF1QipMyF3fBMxTAa8EGDtbDyTV7ES4l_hmf7p3lfdcu=w92-h92-k-no,https://www.google.com/maps/place/Warung+Serba+Ada+Bu+Yah/data=!4m7!3m6!1s0x2e708d363a5b72a9:0x479107130ce604a!8m2!3d-7.0233393!4d110.4559322!16s%2Fg%2F11gy7sqwcc!19sChIJqXJbOjaNcC4RSmDOMHEQeQQ?authuser=0&hl=id&rclk=1,"4,7",(18),Toko Beras,"Jl. Sambiroto, RT.06/RW.01", ⋅ Tutup pukul 22.30
Toko kelontong Mas Soki,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Zq2c4_i3uYyZ5QDuH4G91Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=48.9264&pitch=0&thumbfov=100,https://www.google.com/maps/place/Toko+kelontong+Mas+Soki/data=!4m7!3m6!1s0x2e708d7829083665:0xb0a7e9d4b3b5b378!8m2!3d-7.0283976!4d110.4672265!16s%2Fg%2F11rlgr43y3!19sChIJZTYIKXiNcC4ReLO1s9Tpp7A?authuser=0&hl=id&rclk=1,"5,0",(13),Toko Perlengkapan Rumah,Jl. Ketileng Lama III No.12,
