Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Pusat Oleh Oleh Khas Semarang,,https://www.google.com/maps/place/Pusat+Oleh+Oleh+Khas+Semarang/data=!4m7!3m6!1s0x2e70f555313eefa1:0x3093d70d72aba3a2!8m2!3d-6.9789763!4d110.332821!16s%2Fg%2F11c4538ht3!19sChIJoe8-MVX1cC4RoqOrcg3XkzA?authuser=0&hl=id&rclk=1,"4,3",(161),Toko Swalayan,Jl. Walisongo No.8,
Oleh-Oleh Rumah Makan,,https://www.google.com/maps/place/Oleh-Oleh+Rumah+Makan/data=!4m7!3m6!1s0x2e705ffc18c5a86f:0x3e1c8cc64bcf0f06!8m2!3d-6.9733184!4d110.3248601!16s%2Fg%2F11f1wfc8mm!19sChIJb6jFGPxfcC4RBg_PS8aMHD4?authuser=0&hl=id&rclk=1,,,Restoran,Jl. Tugu Industri I No.1, ⋅ Tutup pukul 21.00
Oleh - Oleh Khas Semarang,,https://www.google.com/maps/place/Oleh+-+Oleh+Khas+Semarang/data=!4m7!3m6!1s0x2e705fe415033b2d:0x97baf7098f67582f!8m2!3d-6.9730123!4d110.3145025!16s%2Fg%2F11h5kmlhx4!19sChIJLTsDFeRfcC4RL1hnjwn3upc?authuser=0&hl=id&rclk=1,,,Toko,,
Barokah,,https://www.google.com/maps/place/Barokah/data=!4m7!3m6!1s0x2e70f54eaaaaaaab:0x28d988f98132bd84!8m2!3d-6.9735927!4d110.3487545!16s%2Fg%2F1pzr2w5x6!19sChIJq6qqqk71cC4RhL0ygfmI2Sg?authuser=0&hl=id&rclk=1,,,Toko,28GX+HG6,
Pusat Oleh-Oleh Pandanaran,,https://www.google.com/maps/place/Pusat+Oleh-Oleh+Pandanaran/data=!4m7!3m6!1s0x2e708aca00076c89:0xcb9bc13f74279f53!8m2!3d-6.9835162!4d110.3545259!16s%2Fg%2F11j4t6hf1f!19sChIJiWwHAMqKcC4RU58ndD_Bm8s?authuser=0&hl=id&rclk=1,"4,4",(60),Toko,,
Toko Ibu waluyo,,https://www.google.com/maps/place/Toko+Ibu+waluyo/data=!4m7!3m6!1s0x2e708bb846fb3eb9:0xd6d2624b04837609!8m2!3d-6.979588!4d110.3498475!16s%2Fg%2F11t_v1qw5_!19sChIJuT77RriLcC4RCXaDBEti0tY?authuser=0&hl=id&rclk=1,"5,0",(1),Toko umum,, ⋅ Tutup pukul 21.00
Mega Baja Indonesia Semarang,,https://www.google.com/maps/place/Mega+Baja+Indonesia+Semarang/data=!4m7!3m6!1s0x2e708ab5b61c1ca7:0xc3ea782da6a8138d!8m2!3d-6.9823145!4d110.3521742!16s%2Fg%2F11hbg8hhp8!19sChIJpxwctrWKcC4RjROopi146sM?authuser=0&hl=id&rclk=1,"4,5",(70),Pusat Perbelanjaan,Jl. Walisongo No.77, ⋅ Buka Sen pukul 08.00
Kedai Susu sapi & Kambing Latanza & pusat Oleh oleh semarang,,https://www.google.com/maps/place/Kedai+Susu+sapi+%26+Kambing+Latanza+%26+pusat+Oleh+oleh+semarang/data=!4m7!3m6!1s0x2e708b17269347e5:0x4edc455561ffe8ac!8m2!3d-6.9861916!4d110.3430516!16s%2Fg%2F11mwy7hmq2!19sChIJ5UeTJheLcC4RrOj_YVVF3E4?authuser=0&hl=id&rclk=1,,,Produk Susu,Jl. Raya Semarang - Batang No.2,
Alfamart,,https://www.google.com/maps/place/Alfamart/data=!4m7!3m6!1s0x2e708b27d1a7cde5:0x8e2510ca8bfb3f42!8m2!3d-6.9858708!4d110.3426643!16s%2Fg%2F11bvt8kkp6!19sChIJ5c2n0SeLcC4RQj_7i8oQJY4?authuser=0&hl=id&rclk=1,"4,4",(20),Minimarket,"Jl. Walisongo, RT.08/RW.03",
Marioboro Card,,https://www.google.com/maps/place/Marioboro+Card/data=!4m7!3m6!1s0x2e708ab25eb044d9:0xb98dfc00ecdff779!8m2!3d-6.9816536!4d110.3446506!16s%2Fg%2F11g8xgyltt!19sChIJ2USwXrKKcC4Refff7AD8jbk?authuser=0&hl=id&rclk=1,"4,5",(42),Toko Swalayan,Jalan tapak rt 7/rw 3 no.19, ⋅ Tutup pukul 21.00
